时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),电机1(RPM),电机2(RPM),误差(°),能量(J),阶段,是否平衡
1.279,10.261,1365.000,354.441,1089.600,-500.000,-500.000,169.739,0.012,渐进启摆,0
1.299,355.430,-1867.200,338.005,-1935.600,500.000,500.000,175.430,0.022,渐进启摆,0
1.320,313.242,-1336.200,297.554,-1198.800,500.000,500.000,133.242,0.010,渐进启摆,0
1.339,327.019,1845.000,313.572,1869.600,-500.000,-500.000,147.019,0.021,渐进启摆,0
1.359,7.866,1323.600,354.199,1254.600,-500.000,-500.000,172.134,0.011,渐进启摆,0
1.379,353.298,-1866.600,339.500,-1996.200,500.000,500.000,173.298,0.022,渐进启摆,0
1.399,310.825,-1368.600,299.949,-1153.200,500.000,500.000,130.825,0.010,渐进启摆,0
1.419,324.844,1825.200,316.340,1836.000,-500.000,-500.000,144.844,0.020,渐进启摆,0
1.439,4.724,1219.800,357.539,1337.400,-500.000,-500.000,175.276,0.009,渐进启摆,0
1.459,349.365,-1855.200,341.851,-1934.400,500.000,500.000,169.365,0.022,渐进启摆,0
1.479,307.705,-1351.800,301.860,-962.400,500.000,500.000,127.705,0.010,渐进启摆,0
1.499,321.548,1827.000,319.329,1837.800,-500.000,-500.000,141.548,0.020,渐进启摆,0
1.519,1.824,1234.800,0.747,1296.000,-500.000,-500.000,178.176,0.010,渐进启摆,0
1.539,346.025,-1857.600,344.377,-1883.400,500.000,500.000,166.025,0.022,渐进启摆,0
1.559,304.893,-1342.200,303.948,-1006.200,500.000,500.000,124.893,0.010,渐进启摆,0
1.579,318.779,1822.200,322.471,1974.000,-500.000,-500.000,138.779,0.020,渐进启摆,0
1.599,0.571,1456.200,4.087,1282.200,-500.000,-500.000,179.429,0.013,渐进启摆,0
1.619,347.783,-1782.000,347.388,-1905.000,500.000,500.000,167.783,0.020,渐进启摆,0
1.639,307.354,-1297.800,305.244,-1330.800,500.000,500.000,127.354,0.009,渐进启摆,0
1.659,322.009,1843.800,321.262,1859.400,-500.000,-500.000,142.009,0.020,渐进启摆,0
1.679,1.824,1191.000,1.868,990.600,-500.000,-500.000,178.176,0.009,渐进启摆,0
1.699,345.586,-1835.400,343.872,-1876.800,500.000,500.000,165.586,0.021,渐进启摆,0
1.719,304.695,-1339.800,302.805,-1183.800,500.000,500.000,124.695,0.009,渐进启摆,0
1.739,319.109,1889.400,318.911,1845.000,-500.000,-500.000,139.109,0.021,渐进启摆,0
1.760,1.055,1288.200,0.352,1227.000,-500.000,-500.000,178.945,0.010,渐进启摆,0
1.779,347.607,-1799.400,344.663,-1861.200,500.000,500.000,167.607,0.020,渐进启摆,0
1.799,307.178,-1269.000,305.134,-1242.600,500.000,500.000,127.178,0.008,渐进启摆,0
1.820,322.207,1914.600,321.702,1795.200,-500.000,-500.000,142.207,0.022,渐进启摆,0
1.840,3.516,1236.600,2.351,1201.800,-500.000,-500.000,176.484,0.010,渐进启摆,0
1.860,350.288,-1791.600,346.531,-1799.400,500.000,500.000,170.288,0.020,渐进启摆,0
1.880,308.694,-1482.600,305.991,-1248.600,500.000,500.000,128.694,0.012,渐进启摆,0
1.900,320.669,1803.000,320.537,1677.000,-500.000,-500.000,140.669,0.019,渐进启摆,0
1.920,1.099,1212.000,0.483,1230.600,-500.000,-500.000,178.901,0.009,渐进启摆,0
1.940,346.904,-1785.000,343.806,-1860.000,500.000,500.000,166.904,0.020,渐进启摆,0
1.960,305.508,-1451.400,303.333,-1144.800,500.000,500.000,125.508,0.011,渐进启摆,0
1.980,317.527,1811.400,318.538,1803.000,-500.000,-500.000,137.527,0.019,渐进启摆,0
1.999,358.594,1257.000,358.462,1293.600,-500.000,-500.000,178.594,0.010,渐进启摆,0
2.019,344.246,-1876.200,341.829,-1945.200,500.000,500.000,164.246,0.022,渐进启摆,0
2.039,304.255,-1242.000,301.091,-1151.400,500.000,500.000,124.255,0.008,渐进启摆,0
2.059,319.592,1873.800,315.879,1812.600,-500.000,-500.000,139.592,0.021,渐进启摆,0
2.080,0.923,1208.400,355.979,1049.400,-500.000,-500.000,179.077,0.009,渐进启摆,0
2.099,346.685,-1834.800,339.126,-1929.600,500.000,500.000,166.685,0.021,渐进启摆,0
2.119,305.684,-1398.600,298.059,-1246.800,500.000,500.000,125.684,0.011,渐进启摆,0
2.139,318.032,1771.800,313.066,1893.000,-500.000,-500.000,138.032,0.019,渐进启摆,0
2.159,358.132,1205.400,354.463,1494.600,-500.000,-500.000,178.132,0.009,渐进启摆,0
2.179,343.784,-1815.600,340.466,-1867.200,500.000,500.000,163.784,0.021,渐进启摆,0
2.199,303.398,-1460.400,299.905,-1206.000,500.000,500.000,123.398,0.012,渐进启摆,0
2.219,316.099,1777.200,315.945,1849.800,-500.000,-500.000,136.099,0.019,渐进启摆,0
2.239,355.693,1209.000,357.803,1359.000,-500.000,-500.000,175.693,0.009,渐进启摆,0
2.260,341.169,-1818.000,342.246,-1972.200,500.000,500.000,161.169,0.020,渐进启摆,0
2.280,300.410,-1240.200,300.762,-1152.000,500.000,500.000,120.410,0.008,渐进启摆,0
2.299,313.528,1812.000,314.934,1715.400,-500.000,-500.000,133.528,0.019,渐进启摆,0
2.319,353.254,1231.800,355.122,1279.800,-500.000,-500.000,173.254,0.009,渐进启摆,0
2.339,338.621,-1869.600,339.785,-2009.400,500.000,500.000,158.621,0.022,渐进启摆,0
2.359,297.334,-1269.000,300.146,-1167.000,500.000,500.000,117.334,0.008,渐进启摆,0
2.379,310.847,1800.600,316.780,1758.000,-500.000,-500.000,130.847,0.019,渐进启摆,0
2.399,350.859,1188.000,357.166,1302.600,-500.000,-500.000,170.859,0.009,渐进启摆,0
2.419,336.116,-1872.000,341.917,-1909.200,500.000,500.000,156.116,0.022,渐进启摆,0
2.439,294.983,-1203.000,303.354,-896.400,500.000,500.000,114.983,0.007,渐进启摆,0
2.459,308.606,1701.000,320.186,1831.200,-500.000,-500.000,128.606,0.017,渐进启摆,0
2.479,347.739,1148.400,359.341,1188.600,-500.000,-500.000,167.739,0.008,渐进启摆,0
2.499,332.820,-1816.200,343.894,-1708.800,500.000,500.000,152.820,0.020,渐进启摆,0
2.519,292.412,-1116.000,305.684,-974.400,500.000,500.000,112.412,0.005,渐进启摆,0
2.540,306.123,1803.000,322.339,1843.800,-500.000,-500.000,126.123,0.019,渐进启摆,0
2.559,346.487,1342.200,3.010,1381.800,-500.000,-500.000,166.487,0.011,渐进启摆,0
2.580,334.072,-1692.000,350.068,-1558.800,500.000,500.000,154.072,0.018,渐进启摆,0
2.600,294.829,-1146.000,311.704,-1133.400,500.000,500.000,114.829,0.006,渐进启摆,0
2.619,308.650,1798.200,325.723,1768.200,-500.000,-500.000,128.650,0.019,渐进启摆,0
2.639,349.146,1382.400,6.086,1128.600,-500.000,-500.000,169.146,0.012,渐进启摆,0
2.659,337.039,-1653.000,353.298,-1659.600,500.000,500.000,157.039,0.017,渐进启摆,0
2.679,297.224,-1219.200,314.561,-1080.600,500.000,500.000,117.224,0.007,渐进启摆,0
2.699,310.979,1810.200,329.634,1760.400,-500.000,-500.000,130.979,0.019,渐进启摆,0
2.719,351.672,1399.200,9.844,1204.800,-500.000,-500.000,171.672,0.012,渐进启摆,0
2.739,339.719,-1598.400,356.616,-1793.400,500.000,500.000,159.719,0.016,渐进启摆,0
2.760,299.861,-1237.200,316.824,-923.400,500.000,500.000,119.861,0.008,渐进启摆,0
2.779,313.616,1822.200,332.644,1690.800,-500.000,-500.000,133.616,0.020,渐进启摆,0
2.799,354.749,1266.600,13.250,1205.400,-500.000,-500.000,174.749,0.010,渐进启摆,0
2.819,342.114,-1634.400,359.143,-1752.000,500.000,500.000,162.114,0.017,渐进启摆,0
2.840,301.948,-1332.000,319.526,-949.800,500.000,500.000,121.948,0.009,渐进启摆,0
2.860,316.582,1802.400,336.379,1807.200,-500.000,-500.000,136.582,0.019,渐进启摆,0
2.880,357.759,1249.200,15.842,1267.200,-500.000,-500.000,177.759,0.010,渐进启摆,0
2.900,344.597,-1630.200,0.352,-1721.400,500.000,500.000,164.597,0.017,渐进启摆,0
2.919,302.959,-1546.200,320.251,-1224.600,500.000,500.000,122.959,0.013,渐进启摆,0
2.940,315.088,1762.800,335.281,1792.800,-500.000,-500.000,135.088,0.018,渐进启摆,0
2.960,356.001,1278.000,15.645,1245.600,-500.000,-500.000,176.001,0.010,渐进启摆,0
2.980,342.290,-1821.600,1.428,-1664.400,500.000,500.000,162.290,0.021,渐进启摆,0
3.000,301.245,-1507.800,321.724,-1306.200,500.000,500.000,121.245,0.012,渐进启摆,0
3.020,313.528,1687.800,337.961,1837.800,-500.000,-500.000,133.528,0.017,渐进启摆,0
3.040,352.639,1218.000,18.699,1192.200,-500.000,-500.000,172.639,0.009,渐进启摆,0
3.060,339.126,-1727.400,3.582,-1822.800,500.000,500.000,159.126,0.018,渐进启摆,0
3.080,299.136,-1421.400,322.449,-1545.000,500.000,500.000,119.136,0.011,渐进启摆,0
3.100,311.550,1594.800,336.731,1814.400,-500.000,-500.000,131.550,0.015,渐进启摆,0
3.120,349.805,1114.800,17.336,1246.200,-500.000,-500.000,169.805,0.008,渐进启摆,0
3.140,335.896,-1689.000,1.406,-1883.400,500.000,500.000,155.896,0.018,渐进启摆,0
3.159,296.917,-1144.800,319.307,-1269.600,500.000,500.000,116.917,0.006,渐进启摆,0
3.179,309.946,1582.800,334.006,1767.000,-500.000,-500.000,129.946,0.014,渐进启摆,0
3.199,346.794,1075.800,13.645,1064.400,-500.000,-500.000,166.794,0.007,渐进启摆,0
3.219,331.919,-1646.400,355.012,-1996.200,500.000,500.000,151.919,0.017,渐进启摆,0
3.239,294.785,-1005.600,313.264,-1059.600,500.000,500.000,114.785,0.004,渐进启摆,0
3.259,308.584,1604.400,329.590,1921.200,-500.000,-500.000,128.584,0.015,渐进启摆,0
3.279,343.916,969.000,11.624,1296.000,-500.000,-500.000,163.916,0.006,渐进启摆,0
3.299,328.271,-1616.400,356.396,-1915.200,500.000,500.000,148.271,0.016,渐进启摆,0
3.319,292.544,-888.000,316.428,-911.400,500.000,500.000,112.544,0.002,渐进启摆,0
