时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),电机1(RPM),电机2(RPM),倒立误差(°),系统能量(J),是否平衡,控制模式
1.320,291.643,162.000,113.379,-204.000,-264.000,336.000,111.643,-0.002,0,能量启摆
1.340,283.975,-752.400,122.717,877.200,-264.000,336.000,103.975,0.000,0,能量启摆
1.359,261.980,-1321.800,149.568,1597.200,192.000,-240.000,81.980,0.006,0,能量启摆
1.379,239.282,-407.400,178.418,585.000,192.000,-240.000,59.282,-0.005,0,能量启摆
1.399,242.468,454.200,176.858,-403.200,192.000,-240.000,62.468,-0.005,0,能量启摆
1.420,254.883,840.600,161.169,-1032.000,192.000,-240.000,74.883,-0.001,0,能量启摆
1.440,274.263,1080.600,137.527,-1242.600,-264.000,336.000,94.263,0.004,0,能量启摆
1.459,290.457,127.200,116.235,-232.800,-264.000,336.000,110.457,-0.003,0,能量启摆
1.479,281.360,-864.600,126.189,1008.000,-264.000,336.000,101.360,0.001,0,能量启摆
1.500,258.354,-1299.600,154.248,1621.200,192.000,-240.000,78.354,0.006,0,能量启摆
1.520,235.107,-432.600,183.867,544.200,192.000,-240.000,55.107,-0.005,0,能量启摆
1.540,237.239,443.400,180.088,-500.400,192.000,-240.000,57.239,-0.005,0,能量启摆
1.559,250.774,807.000,164.268,-1026.600,192.000,-240.000,70.774,-0.001,0,能量启摆
1.579,269.758,1005.000,140.625,-1275.000,192.000,-240.000,89.758,0.002,0,能量启摆
1.600,291.226,1129.800,113.884,-1390.200,-264.000,336.000,111.226,0.005,0,能量启摆
1.620,308.013,195.600,91.472,-145.200,-264.000,336.000,128.013,-0.001,0,能量启摆
1.640,298.960,-855.600,103.689,1000.800,-264.000,336.000,118.960,0.002,0,能量启摆
1.659,276.064,-1358.400,132.144,1682.400,-264.000,336.000,96.064,0.008,0,能量启摆
1.679,247.961,-1495.800,167.827,1859.400,192.000,-240.000,67.961,0.008,0,能量启摆
1.700,223.572,-372.600,200.083,634.200,192.000,-240.000,43.572,-0.006,0,能量启摆
1.720,227.087,487.200,196.194,-556.800,192.000,-240.000,47.087,-0.005,0,能量启摆
1.740,239.216,852.600,179.736,-1108.800,192.000,-240.000,59.216,-0.002,0,能量启摆
1.760,258.552,1113.600,156.313,-1240.800,192.000,-240.000,78.552,0.003,0,能量启摆
1.780,280.195,1050.000,129.814,-1360.200,-264.000,336.000,100.195,0.004,0,能量启摆
1.800,297.532,121.200,107.117,-246.000,-264.000,336.000,117.532,-0.002,0,能量启摆
1.820,288.655,-789.000,118.652,1070.400,-264.000,336.000,108.655,0.001,0,能量启摆
1.841,266.770,-1270.200,146.799,1712.400,192.000,-240.000,86.770,0.006,0,能量启摆
1.861,244.006,-553.200,177.693,814.800,192.000,-240.000,64.006,-0.004,0,能量启摆
1.880,245.918,418.200,176.792,-445.800,192.000,-240.000,65.918,-0.005,0,能量启摆
1.901,259.563,936.000,159.631,-1059.000,192.000,-240.000,79.563,0.001,0,能量启摆
1.920,279.207,1054.800,135.857,-1259.400,-264.000,336.000,99.207,0.004,0,能量启摆
1.940,295.400,62.400,113.862,-226.200,-264.000,336.000,115.400,-0.002,0,能量启摆
1.960,286.106,-856.200,124.783,1111.200,-264.000,336.000,106.106,0.002,0,能量启摆
1.980,264.001,-1240.200,153.040,1644.000,192.000,-240.000,84.001,0.005,0,能量启摆
2.000,240.469,-520.800,183.208,715.800,192.000,-240.000,60.469,-0.004,0,能量启摆
2.020,243.193,454.800,179.934,-515.400,192.000,-240.000,63.193,-0.005,0,能量启摆
2.040,255.762,875.400,163.455,-1050.600,192.000,-240.000,75.762,-0.000,0,能量启摆
2.060,274.900,1061.400,140.295,-1255.800,-264.000,336.000,94.900,0.003,0,能量启摆
2.079,290.808,131.400,119.465,-178.800,-264.000,336.000,110.808,-0.003,0,能量启摆
2.099,281.733,-850.200,130.781,1087.800,-264.000,336.000,101.733,0.001,0,能量启摆
2.120,258.684,-1313.400,159.170,1621.200,192.000,-240.000,78.684,0.006,0,能量启摆
2.139,235.854,-390.600,188.613,655.200,192.000,-240.000,55.854,-0.005,0,能量启摆
2.159,238.271,448.800,185.493,-559.800,192.000,-240.000,58.271,-0.005,0,能量启摆
2.179,251.411,783.600,168.223,-1071.000,192.000,-240.000,71.411,-0.002,0,能量启摆
2.199,270.352,1023.000,144.536,-1228.200,-264.000,336.000,90.352,0.002,0,能量启摆
2.220,286.765,114.600,124.717,-70.200,-264.000,336.000,106.765,-0.003,0,能量启摆
2.240,278.218,-912.000,136.318,1116.600,-264.000,336.000,98.218,0.002,0,能量启摆
2.259,255.366,-1341.000,165.344,1708.800,192.000,-240.000,75.366,0.006,0,能量启摆
2.279,233.130,-426.600,195.117,691.200,192.000,-240.000,53.130,-0.005,0,能量启摆
2.300,234.910,424.200,193.733,-445.200,192.000,-240.000,54.910,-0.005,0,能量启摆
2.319,248.972,762.000,176.309,-1025.400,192.000,-240.000,68.972,-0.002,0,能量启摆
2.340,268.220,1014.600,152.139,-1303.200,192.000,-240.000,88.220,0.002,0,能量启摆
2.359,289.622,1095.600,125.793,-1355.400,-264.000,336.000,109.622,0.005,0,能量启摆
2.380,306.562,138.000,103.711,-184.800,-264.000,336.000,126.562,-0.002,0,能量启摆
2.399,298.279,-777.600,114.631,1075.200,-264.000,336.000,118.279,0.002,0,能量启摆
2.419,275.625,-1373.400,142.888,1636.200,-264.000,336.000,95.625,0.008,0,能量启摆
2.439,247.654,-1418.400,178.484,1914.600,192.000,-240.000,67.654,0.007,0,能量启摆
2.459,223.110,-437.400,210.564,767.400,192.000,-240.000,43.110,-0.006,0,能量启摆
2.479,225.791,429.600,209.729,-420.600,192.000,-240.000,45.791,-0.006,0,能量启摆
2.500,237.810,832.800,192.524,-1055.400,192.000,-240.000,57.810,-0.002,0,能量启摆
2.520,257.036,1059.600,168.442,-1278.000,192.000,-240.000,77.036,0.002,0,能量启摆
2.540,278.569,1143.600,141.943,-1348.200,-264.000,336.000,98.569,0.005,0,能量启摆
2.559,295.115,34.200,120.740,-158.400,-264.000,336.000,115.115,-0.002,0,能量启摆
2.580,286.348,-826.200,131.704,1063.800,-264.000,336.000,106.348,0.001,0,能量启摆
2.600,264.243,-1232.400,160.181,1629.000,192.000,-240.000,84.243,0.005,0,能量启摆
2.620,240.908,-533.400,190.042,615.600,192.000,-240.000,60.908,-0.004,0,能量启摆
2.640,243.435,420.600,187.866,-525.000,192.000,-240.000,63.435,-0.005,0,能量启摆
2.660,255.959,889.200,171.123,-1039.200,192.000,-240.000,75.959,-0.000,0,能量启摆
2.680,275.383,1040.400,147.766,-1217.400,-264.000,336.000,95.383,0.003,0,能量启摆
2.700,292.017,98.400,127.529,-149.400,-264.000,336.000,112.017,-0.003,0,能量启摆
2.720,283.975,-809.400,138.010,1009.800,-264.000,336.000,103.975,0.001,0,能量启摆
2.740,261.321,-1353.600,166.333,1650.000,192.000,-240.000,81.321,0.007,0,能量启摆
2.760,238.557,-347.400,195.315,601.200,192.000,-240.000,58.557,-0.006,0,能量启摆
2.780,241.436,462.000,193.623,-419.400,192.000,-240.000,61.436,-0.005,0,能量启摆
2.800,254.202,839.400,176.375,-1020.600,192.000,-240.000,74.202,-0.001,0,能量启摆
