时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),策略,是否平衡
1.459,33.047,98.400,23.291,30.600,-350.000,-350.000,146.953,增强启摆,0
1.479,21.599,-694.200,10.964,-1042.200,350.000,350.000,158.401,增强启摆,0
1.499,0.417,-238.200,349.475,-97.200,350.000,350.000,179.583,增强启摆,0
1.519,13.975,1213.800,1.802,1087.800,-350.000,-350.000,166.025,增强启摆,0
1.539,34.958,-1.200,21.775,-74.400,24.504,16.336,145.042,增强启摆,0
1.559,27.048,64.800,15.271,-26.400,-350.000,-350.000,152.952,增强启摆,0
1.579,21.665,-919.800,9.822,-1005.600,350.000,350.000,158.335,增强启摆,0
1.599,1.824,-138.000,348.376,-35.400,350.000,350.000,178.176,增强启摆,0
1.619,16.831,1198.800,1.252,1069.200,-350.000,-350.000,163.169,增强启摆,0
1.639,37.815,31.200,21.511,-44.400,-350.000,-294.053,142.185,增强启摆,0
1.659,23.950,-948.600,9.558,-922.800,350.000,350.000,156.050,增强启摆,0
1.679,5.383,29.400,352.925,7.200,-350.000,-332.506,174.617,增强启摆,0
1.699,13.315,-430.800,358.682,-307.200,350.000,350.000,166.685,增强启摆,0
1.719,358.813,199.200,349.871,409.800,-350.000,-350.000,178.813,增强启摆,0
1.739,7.559,-316.200,358.550,-327.600,350.000,350.000,172.441,增强启摆,0
1.759,355.979,398.400,349.453,363.600,-350.000,-350.000,175.979,增强启摆,0
1.780,6.680,-337.200,358.506,-244.200,350.000,350.000,173.320,增强启摆,0
1.800,355.166,438.600,349.255,351.600,-350.000,-350.000,175.166,增强启摆,0
1.820,6.438,-348.600,358.528,-256.200,350.000,350.000,173.562,增强启摆,0
1.840,354.683,294.600,349.124,355.800,-350.000,-350.000,174.683,增强启摆,0
1.860,6.438,-234.000,358.638,-268.800,350.000,350.000,173.562,增强启摆,0
1.880,355.869,463.200,350.090,357.000,-350.000,-350.000,175.869,增强启摆,0
1.900,7.778,-300.000,359.890,-258.600,350.000,350.000,172.222,增强启摆,0
1.920,356.133,465.600,350.376,340.800,-350.000,-350.000,176.133,增强启摆,0
1.940,8.042,-170.400,0.308,-259.200,350.000,350.000,171.958,增强启摆,0
1.960,357.297,435.000,351.475,296.400,-350.000,-350.000,177.297,增强启摆,0
1.980,9.250,-261.000,1.670,-207.600,350.000,350.000,170.750,增强启摆,0
1.999,357.495,268.800,352.024,256.200,-350.000,-350.000,177.495,增强启摆,0
2.019,7.668,-294.600,0.571,-325.800,350.000,350.000,172.332,增强启摆,0
2.039,356.726,418.800,350.903,309.600,-350.000,-350.000,176.726,增强启摆,0
2.059,7.273,-300.000,0.066,-250.200,350.000,350.000,172.727,增强启摆,0
2.079,356.902,420.000,350.618,321.600,-350.000,-350.000,176.902,增强启摆,0
2.099,5.273,-369.600,0.088,-252.600,350.000,350.000,174.727,增强启摆,0
2.119,355.254,375.600,351.782,340.200,-350.000,-350.000,175.254,增强启摆,0
2.139,4.373,-364.200,1.604,-186.000,350.000,350.000,175.627,增强启摆,0
2.159,354.287,363.600,352.793,235.800,-350.000,-350.000,174.287,增强启摆,0
2.179,4.263,-277.800,1.758,-204.600,350.000,350.000,175.737,增强启摆,0
2.199,355.649,425.400,354.595,284.400,-350.000,-350.000,175.649,增强启摆,0
2.219,5.625,-327.000,3.713,-259.800,350.000,350.000,174.375,增强启摆,0
2.239,356.155,397.200,356.177,243.000,-350.000,-350.000,176.155,增强启摆,0
2.259,4.395,-343.800,4.812,-244.800,350.000,350.000,175.605,增强启摆,0
2.279,355.254,388.200,356.836,210.000,-350.000,-350.000,175.254,增强启摆,0
2.299,4.175,-354.600,4.131,-301.200,350.000,350.000,175.825,增强启摆,0
2.319,355.232,350.400,355.342,250.800,-350.000,-350.000,175.232,增强启摆,0
2.339,4.285,-352.200,3.318,-228.600,350.000,350.000,175.715,增强启摆,0
2.359,356.375,407.400,354.507,196.200,-350.000,-350.000,176.375,增强启摆,0
2.379,5.603,-324.000,2.878,-198.000,350.000,350.000,174.397,增强启摆,0
2.400,356.528,406.800,355.430,271.200,-350.000,-350.000,176.528,增强启摆,0
2.420,6.064,-316.800,5.977,-237.600,350.000,350.000,173.936,增强启摆,0
2.439,356.440,401.400,357.671,223.200,-350.000,-350.000,176.440,增强启摆,0
2.459,6.548,-205.800,6.306,-317.400,350.000,350.000,173.452,增强启摆,0
2.479,357.539,405.600,356.199,196.200,-350.000,-350.000,177.539,增强启摆,0
2.500,8.350,-259.800,4.834,-337.200,350.000,350.000,171.650,增强启摆,0
2.520,357.759,379.800,352.397,99.000,-350.000,-350.000,177.759,增强启摆,0
2.540,8.965,-268.800,2.000,-198.600,350.000,350.000,171.035,增强启摆,0
2.560,357.297,274.800,350.310,102.000,-350.000,-350.000,177.297,增强启摆,0
2.580,7.625,-289.200,359.561,-268.800,350.000,350.000,172.375,增强启摆,0
2.600,355.935,414.000,348.530,373.800,-350.000,-350.000,175.935,增强启摆,0
2.619,7.625,-148.200,359.341,-280.800,350.000,350.000,172.375,增强启摆,0
2.639,356.902,436.200,349.453,386.400,-350.000,-350.000,176.902,增强启摆,0
2.659,9.009,-238.200,0.659,-210.600,350.000,350.000,170.991,增强启摆,0
2.680,357.100,408.600,351.057,410.400,-350.000,-350.000,177.100,增强启摆,0
2.699,9.382,-108.000,4.087,-103.800,350.000,350.000,170.618,增强启摆,0
2.719,358.396,388.200,355.298,358.800,-350.000,-350.000,178.396,增强启摆,0
2.739,10.964,-210.600,6.921,-304.800,350.000,350.000,169.036,增强启摆,0
2.760,358.813,316.200,356.704,241.800,-350.000,-350.000,178.813,增强启摆,0
2.780,11.382,-220.200,7.690,-352.200,350.000,350.000,168.618,增强启摆,0
2.800,358.748,129.000,356.682,232.800,-350.000,-350.000,178.748,增强启摆,0
2.820,9.844,-243.000,7.954,-355.800,350.000,350.000,170.156,增强启摆,0
2.840,357.451,379.200,358.374,370.800,-350.000,-350.000,177.451,增强启摆,0
2.860,9.426,-245.400,8.943,-370.800,350.000,350.000,170.574,增强启摆,0
2.880,357.078,397.200,358.572,288.000,-350.000,-350.000,177.078,增强启摆,0
2.900,9.492,-90.000,9.316,-380.400,350.000,350.000,170.508,增强启摆,0
2.920,356.814,247.200,358.440,286.800,-350.000,-350.000,176.814,增强启摆,0
2.940,7.954,-280.800,8.152,-413.400,350.000,350.000,172.046,增强启摆,0
2.960,355.605,406.800,357.034,224.400,-350.000,-350.000,175.605,增强启摆,0
2.980,7.668,-152.400,7.844,-369.000,350.000,350.000,172.332,增强启摆,0
3.000,355.232,283.200,356.748,238.800,-350.000,-350.000,175.232,增强启摆,0
