时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),策略,是否平衡
1.420,357.231,113.400,359.956,0.000,-180.000,-0.000,177.231,表3-1四状态,0
1.440,358.989,-117.600,359.978,0.000,180.000,-0.000,178.989,表3-1四状态,0
1.460,357.495,117.600,359.956,0.000,-180.000,-0.000,177.495,表3-1四状态,0
1.480,359.253,-107.400,359.978,0.000,180.000,-0.000,179.253,表3-1四状态,0
1.500,357.451,128.400,0.000,0.000,-180.000,-0.000,177.451,表3-1四状态,0
1.520,359.341,-121.200,0.022,4.800,180.000,-1.440,179.341,表3-1四状态,0
1.540,357.825,128.400,0.022,0.000,-180.000,-0.000,177.825,表3-1四状态,0
1.560,359.583,-107.400,0.022,0.000,180.000,-0.000,179.583,表3-1四状态,0
1.580,357.847,119.400,0.022,0.000,-180.000,-0.000,177.847,表3-1四状态,0
1.600,359.648,-117.000,0.044,0.000,180.000,-0.000,179.648,表3-1四状态,0
1.620,357.825,123.600,0.066,0.000,-180.000,-0.000,177.825,表3-1四状态,0
1.640,359.670,-109.800,0.066,0.000,180.000,-0.000,179.670,表3-1四状态,0
1.660,357.803,118.800,0.044,4.800,-180.000,-1.440,177.803,表3-1四状态,0
1.680,359.341,-111.000,0.044,0.000,180.000,-0.000,179.341,表3-1四状态,0
1.700,357.561,113.400,0.044,0.000,-180.000,-0.000,177.561,表3-1四状态,0
1.720,359.341,-110.400,0.044,0.000,180.000,-0.000,179.341,表3-1四状态,0
1.740,357.473,121.800,0.044,5.400,-180.000,-1.620,177.473,表3-1四状态,0
1.760,359.033,-121.800,0.044,0.000,180.000,-0.000,179.033,表3-1四状态,0
1.780,357.166,112.200,0.022,0.000,-180.000,-0.000,177.166,表3-1四状态,0
1.800,359.033,-126.600,0.044,0.000,180.000,-0.000,179.033,表3-1四状态,0
1.820,357.517,127.800,0.022,0.000,-180.000,-0.000,177.517,表3-1四状态,0
1.840,359.275,-123.000,0.000,0.000,180.000,-0.000,179.275,表3-1四状态,0
1.860,357.517,119.400,359.978,0.000,-180.000,-0.000,177.517,表3-1四状态,0
1.880,359.341,-123.000,359.956,-4.800,180.000,1.440,179.341,表3-1四状态,0
1.900,357.495,124.200,359.934,-4.200,-180.000,1.260,177.495,表3-1四状态,0
1.920,359.011,-112.800,359.934,0.000,180.000,-0.000,179.011,表3-1四状态,0
1.940,357.209,106.200,359.912,0.000,-180.000,-0.000,177.209,表3-1四状态,0
1.960,358.989,-117.000,359.912,0.000,180.000,-0.000,178.989,表3-1四状态,0
1.980,357.166,108.000,359.912,0.000,-180.000,-0.000,177.166,表3-1四状态,0
2.000,359.011,-122.400,359.912,0.000,180.000,-0.000,179.011,表3-1四状态,0
2.020,357.100,111.000,359.912,0.000,-180.000,-0.000,177.100,表3-1四状态,0
2.040,358.660,-111.600,359.912,0.000,180.000,-0.000,178.660,表3-1四状态,0
2.060,356.704,110.400,359.912,0.000,-180.000,-0.000,176.704,表3-1四状态,0
2.080,358.528,-117.000,359.934,0.000,180.000,-0.000,178.528,表3-1四状态,0
2.100,357.034,104.400,359.934,0.000,-180.000,-0.000,177.034,表3-1四状态,0
2.120,358.835,-107.400,359.934,-5.400,180.000,1.620,178.835,表3-1四状态,0
2.140,357.166,106.800,359.934,0.000,-180.000,-0.000,177.166,表3-1四状态,0
2.160,359.011,-112.200,359.934,-5.400,180.000,1.620,179.011,表3-1四状态,0
2.181,357.209,107.400,359.912,0.000,-180.000,-0.000,177.209,表3-1四状态,0
2.200,359.099,-108.600,359.912,0.000,180.000,-0.000,179.099,表3-1四状态,0
2.220,357.583,100.800,359.912,4.800,-180.000,-1.440,177.583,表3-1四状态,0
2.240,359.363,-116.400,359.912,-4.800,180.000,1.440,179.363,表3-1四状态,0
2.260,357.605,100.800,359.934,0.000,-180.000,-0.000,177.605,表3-1四状态,0
2.280,359.077,-117.600,359.956,0.000,180.000,-0.000,179.077,表3-1四状态,0
2.300,357.363,103.800,359.956,4.800,-180.000,-1.440,177.363,表3-1四状态,0
2.321,359.077,-115.800,359.956,0.000,180.000,-0.000,179.077,表3-1四状态,0
2.341,357.319,111.000,359.956,0.000,-180.000,-0.000,177.319,表3-1四状态,0
2.360,359.121,-121.800,359.956,0.000,180.000,-0.000,179.121,表3-1四状态,0
2.380,357.275,115.200,359.956,0.000,-180.000,-0.000,177.275,表3-1四状态,0
2.400,359.165,-112.800,359.978,5.400,180.000,-1.620,179.165,表3-1四状态,0
2.420,357.583,100.200,0.022,0.000,-180.000,-0.000,177.583,表3-1四状态,0
2.440,359.385,-111.600,0.022,0.000,180.000,-0.000,179.385,表3-1四状态,0
2.460,357.979,106.800,0.022,0.000,-180.000,-0.000,177.979,表3-1四状态,0
2.480,359.648,-107.400,0.022,0.000,180.000,-0.000,179.648,表3-1四状态,0
2.500,358.000,98.400,0.044,0.000,-180.000,-0.000,178.000,表3-1四状态,0
2.520,359.714,-106.800,0.044,0.000,180.000,-0.000,179.714,表3-1四状态,0
2.540,357.979,100.800,0.044,0.000,-180.000,-0.000,177.979,表3-1四状态,0
2.560,359.407,-118.200,0.044,0.000,180.000,-0.000,179.407,表3-1四状态,0
2.580,357.803,107.400,0.044,0.000,-180.000,-0.000,177.803,表3-1四状态,0
2.600,359.363,-112.200,0.044,0.000,180.000,-0.000,179.363,表3-1四状态,0
