时间(s),摆杆角度(°),摆杆速度(°/s),飞轮角度(°),飞轮速度(°/s),电机1输出(RPM),电机2输出(RPM),倒立误差(°),是否稳定,放缩系数
0.000,359.978,0.000,0.066,0.000,-82.472,-0.363,179.978,0,1.000
0.019,359.912,-16.200,0.044,0.000,-72.779,-0.329,179.912,0,1.000
0.039,357.759,-189.000,0.022,0.000,31.277,0.022,177.759,0,1.000
0.059,354.814,-10.800,0.022,4.800,-73.655,-3.288,174.814,0,1.000
0.079,354.617,-54.000,0.022,0.000,-47.807,-0.243,174.617,0,1.000
0.099,350.903,-231.600,0.022,0.000,59.827,0.121,170.903,0,1.000
0.119,346.970,-69.600,0.022,0.000,-34.998,-0.196,166.970,0,1.000
0.139,346.860,-10.200,0.022,0.000,-70.378,-0.315,166.860,0,1.000
0.159,344.224,-293.400,0.022,0.000,99.750,0.259,164.224,0,1.000
0.179,339.478,22.200,0.022,0.000,-86.320,-0.365,159.478,0,1.000
0.200,339.456,-16.800,0.022,0.000,-63.048,-0.287,159.456,0,1.000
0.220,337.676,-175.800,0.022,0.000,32.606,0.036,157.676,0,1.000
0.240,333.655,-106.800,0.022,0.000,-6.708,-0.094,153.655,0,1.000
0.259,332.952,-7.800,0.022,0.000,-65.436,-0.292,152.952,0,1.000
0.279,331.348,-231.000,0.022,-5.400,68.420,3.488,151.348,0,1.000
0.299,325.767,-145.200,0.022,0.000,19.811,-0.002,145.767,0,1.000
0.319,325.547,0.000,0.022,0.000,-66.695,-0.293,145.547,0,1.000
0.339,325.459,-17.400,0.022,0.000,-56.276,-0.257,145.459,0,1.000
0.359,323.591,-139.800,0.022,0.000,17.587,-0.008,143.591,0,1.000
0.379,321.592,-6.000,0.022,4.800,-61.294,-3.231,141.592,0,1.000
0.399,321.196,-78.600,0.022,0.000,-17.819,-0.126,141.196,0,1.000
0.420,317.153,-227.400,0.022,0.000,72.788,0.181,137.153,0,1.000
0.439,313.638,-25.200,0.022,0.000,-46.207,-0.218,133.638,0,1.000
0.459,313.594,-12.600,0.022,0.000,-53.702,-0.243,133.594,0,1.000
0.479,311.484,-204.000,0.022,0.000,61.428,0.145,131.484,0,1.000
0.499,308.079,21.000,0.022,0.000,-71.216,-0.300,128.079,0,1.000
0.519,308.057,-22.800,0.022,0.000,-45.081,-0.212,128.057,0,1.000
0.540,306.650,-93.000,0.022,0.000,-2.564,-0.068,126.650,0,1.000
0.560,304.980,-51.600,0.022,0.000,-26.493,-0.148,124.980,0,1.000
0.580,303.904,-105.000,0.022,0.000,5.852,-0.038,123.904,0,1.000
0.600,300.762,-157.200,0.022,0.000,38.427,0.073,120.762,0,1.000
0.619,299.158,0.000,0.022,0.000,-54.602,-0.240,119.158,0,1.000
0.639,298.982,-45.600,0.022,0.000,-27.323,-0.148,118.982,0,1.000
0.659,296.257,-183.600,0.022,0.000,56.238,0.135,116.257,0,1.000
0.680,293.049,-6.600,0.022,0.000,-47.867,-0.214,113.049,0,1.000
0.699,293.071,-11.400,0.022,0.000,-45.014,-0.204,113.071,0,1.000
0.719,292.104,-88.200,0.022,0.000,1.238,-0.048,112.104,0,1.000
0.739,290.676,-1.200,0.022,-4.800,-50.009,2.738,110.676,0,1.000
0.759,290.259,-80.400,0.022,0.000,-2.569,-0.060,110.259,0,1.000
0.779,287.578,-120.600,0.022,0.000,22.638,0.026,107.578,0,1.000
0.799,285.161,-88.200,0.022,0.000,4.420,-0.034,105.161,0,1.000
0.819,284.875,0.000,0.022,0.000,-48.058,-0.211,104.875,0,1.000
0.839,284.414,-86.400,0.022,0.000,3.688,-0.037,104.414,0,1.000
0.859,281.689,-96.600,0.022,0.000,11.021,-0.011,101.689,0,1.000
0.879,280.283,-46.800,0.022,0.000,-18.039,-0.108,100.283,0,1.000
0.900,279.756,-58.200,0.022,0.000,-10.997,-0.084,99.756,0,1.000
0.920,278.174,-81.600,0.022,0.000,3.685,-0.034,98.174,0,1.000
0.940,277.273,-0.600,0.022,4.800,-44.207,-3.153,97.273,0,1.000
0.960,276.899,-73.800,0.022,0.000,-0.384,-0.047,96.899,0,1.000
0.980,275.208,-24.600,0.022,0.000,-28.954,-0.142,95.208,0,1.000
1.000,274.922,-45.600,0.022,0.000,-16.298,-0.099,94.922,0,1.000
1.019,273.406,-72.600,0.022,0.000,0.502,-0.042,93.406,0,1.000
1.039,271.692,-87.000,0.022,0.000,9.876,-0.010,91.692,0,1.000
1.059,270.044,-65.400,0.022,0.000,-2.252,-0.050,90.044,0,1.000
1.079,269.473,-22.800,0.022,0.000,-27.400,-0.134,89.473,0,1.000
1.100,268.726,-67.200,0.022,0.000,-0.575,-0.044,88.726,0,1.000
1.120,266.880,-65.400,0.022,0.000,-0.803,-0.044,86.880,0,1.000
1.140,265.891,-35.400,0.022,0.000,-18.244,-0.102,85.891,0,1.000
1.160,265.188,-47.400,0.022,0.000,-10.764,-0.076,85.188,0,1.000
1.180,263.540,-85.800,0.022,0.000,12.896,0.004,83.540,0,1.000
1.200,262.288,-17.400,0.022,0.000,-27.329,-0.131,82.288,0,1.000
1.220,262.134,-33.600,0.022,0.000,-17.595,-0.098,82.134,0,1.000
1.239,260.815,-77.400,0.022,0.000,9.134,-0.007,80.815,0,1.000
1.259,259.871,-6.000,0.022,0.000,-33.021,-0.149,79.871,0,1.000
1.279,259.673,-35.400,0.022,0.000,-15.394,-0.089,79.673,0,1.000
1.300,258.091,-71.400,0.022,0.000,6.804,-0.014,78.091,0,1.000
1.320,256.926,-31.200,0.022,0.000,-16.641,-0.092,76.926,0,1.000
1.340,256.597,-40.200,0.022,0.000,-11.121,-0.073,76.597,0,1.000
1.359,255.256,-99.600,0.022,0.000,24.923,0.048,75.256,0,1.000
1.379,253.542,-12.600,0.022,0.000,-26.184,-0.123,73.542,0,1.000
1.399,253.389,-28.800,0.022,0.000,-16.451,-0.090,73.389,0,1.000
1.419,251.938,-105.000,0.022,0.000,29.664,0.066,71.938,0,1.000
1.439,250.488,0.000,0.022,0.000,-32.300,-0.142,70.488,0,1.000
1.459,250.444,-16.200,0.022,0.000,-22.617,-0.109,70.444,0,1.000
1.479,249.434,-84.600,0.022,0.000,18.644,0.030,69.434,0,1.000
1.499,248.049,-17.400,0.022,-5.400,-20.815,3.226,68.049,0,1.000
1.519,247.939,-17.400,0.022,0.000,-20.754,-0.102,67.939,0,1.000
1.540,246.665,-88.200,0.022,0.000,22.060,0.043,66.665,0,1.000
1.560,245.127,-18.600,0.022,0.000,-18.749,-0.094,65.127,0,1.000
1.580,245.105,-10.200,0.022,0.000,-23.749,-0.111,65.105,0,1.000
1.600,244.358,-66.000,0.022,0.000,9.876,0.003,64.358,0,1.000
1.620,243.018,-18.000,0.022,-4.800,-18.150,2.868,63.018,0,1.000
1.639,242.842,-18.000,0.022,0.000,-18.060,-0.090,62.842,0,1.000
1.659,241.897,-76.800,0.022,0.000,17.445,0.029,61.897,0,1.000
1.679,240.908,-0.600,0.022,0.000,-27.552,-0.121,60.908,0,1.000
1.700,240.798,-18.000,0.022,0.000,-17.124,-0.086,60.798,0,1.000
1.720,239.502,-85.200,0.022,0.000,23.553,0.051,59.502,0,1.000
1.740,237.832,-36.000,0.000,0.000,-5.028,-0.044,57.832,0,1.000
1.760,237.788,0.000,0.000,0.000,-26.481,-0.116,57.788,0,1.000
1.780,237.458,-61.800,0.000,0.000,10.532,0.009,57.458,0,1.000
1.800,235.613,-51.000,0.000,0.000,4.936,-0.009,55.613,0,1.000
1.820,235.459,0.000,0.000,0.000,-25.413,-0.111,55.459,0,1.000
1.840,235.305,-25.200,0.000,-4.800,-10.321,2.898,55.305,0,1.000
1.860,234.119,-60.000,0.022,0.000,10.989,0.011,54.119,0,1.000
1.880,233.503,0.000,0.000,0.000,-24.517,-0.107,53.503,0,1.000
1.900,233.416,-16.800,0.022,5.400,-14.446,-3.402,53.416,0,1.000
1.920,232.207,-87.600,0.000,0.000,28.327,0.071,52.207,0,1.000
1.940,230.999,-4.800,0.000,0.000,-20.506,-0.093,50.999,0,1.000
1.960,230.999,-16.200,0.000,0.000,-13.707,-0.070,50.999,0,1.000
1.980,230.537,-40.200,0.000,0.000,0.820,-0.021,50.537,0,1.000
1.999,229.329,-78.600,0.000,-4.800,24.269,3.017,49.329,0,1.000
2.019,228.647,0.000,0.000,0.000,-22.292,-0.098,48.647,0,1.000
2.039,228.625,-6.000,0.000,0.000,-18.703,-0.086,48.625,0,1.000
2.059,227.966,-55.800,0.000,0.000,11.303,0.016,47.966,0,1.000
2.079,226.802,-18.600,0.000,0.000,-10.352,-0.057,46.802,0,1.000
2.099,226.736,-5.400,0.000,0.000,-18.195,-0.083,46.736,0,1.000
2.119,226.340,-30.000,0.000,0.000,-3.341,-0.033,46.340,0,1.000
2.139,225.483,-42.000,0.000,0.000,4.209,-0.007,45.483,0,1.000
2.160,225.176,0.000,0.000,0.000,-20.701,-0.091,45.176,0,1.000
2.180,225.044,-24.600,0.000,0.000,-5.968,-0.041,45.044,0,1.000
2.200,224.385,-34.800,0.000,0.000,0.418,-0.019,44.385,0,1.000
2.220,223.616,-34.200,0.000,0.000,0.413,-0.019,43.616,0,1.000
2.240,223.352,-1.800,0.000,0.000,-18.792,-0.083,43.352,0,1.000
2.260,223.132,-29.400,0.000,0.000,-2.229,-0.028,43.132,0,1.000
2.280,221.858,-93.000,0.000,0.000,36.291,0.103,41.858,0,1.000
2.300,220.979,0.000,0.000,0.000,-18.778,-0.082,40.979,0,1.000
2.320,221.001,-4.800,0.000,0.000,-15.925,-0.073,41.001,0,1.000
2.340,220.869,-11.400,0.000,0.000,-11.928,-0.059,40.869,0,1.000
2.359,220.298,-34.800,0.000,0.000,2.291,-0.011,40.298,0,1.000
2.380,219.397,-19.800,0.000,0.000,-6.243,-0.039,39.397,0,1.000
2.400,219.265,-10.200,0.000,0.000,-11.909,-0.058,39.265,0,1.000
2.419,219.023,-5.400,0.000,4.800,-14.652,-3.026,39.023,0,1.000
2.439,218.694,-17.400,0.000,0.000,-7.352,-0.043,38.694,0,1.000
2.459,217.573,-86.400,0.000,0.000,34.317,0.098,37.573,0,1.000
2.479,216.914,4.800,0.000,0.000,-19.778,-0.084,36.914,0,1.000
2.499,216.936,0.000,0.000,0.000,-16.925,-0.074,36.936,0,1.000
2.519,216.848,-15.600,0.000,0.000,-7.580,-0.043,36.848,0,1.000
2.539,216.519,-6.600,0.000,0.000,-12.797,-0.060,36.519,0,1.000
2.561,216.123,-29.400,0.000,0.000,0.983,-0.013,36.123,0,1.000
2.580,214.563,-87.000,0.000,0.000,36.055,0.105,34.563,0,1.000
2.600,213.420,-7.200,0.000,0.000,-11.020,-0.053,33.420,0,1.000
2.620,213.442,0.000,0.000,0.000,-15.325,-0.067,33.442,0,1.000
2.640,213.354,-11.400,0.000,0.000,-8.485,-0.044,33.354,0,1.000
2.661,212.673,-42.600,0.000,0.000,10.437,0.020,32.673,0,1.000
2.681,211.641,-29.400,0.000,0.000,3.037,-0.004,31.641,0,1.000
2.700,211.575,0.000,0.000,0.000,-14.469,-0.063,31.575,0,1.000
2.720,211.531,-0.600,0.000,0.000,-14.091,-0.062,31.531,0,1.000
2.740,211.179,-18.000,0.000,0.000,-3.551,-0.026,31.179,0,1.000
2.760,210.652,-33.600,0.000,0.000,5.995,0.006,30.652,0,1.000
2.780,210.015,-6.600,0.000,5.400,-9.807,-3.375,30.015,0,1.000
2.799,209.971,-5.400,0.000,0.000,-10.513,-0.049,29.971,0,1.000
2.819,209.707,-11.400,0.000,0.000,-6.813,-0.037,29.707,0,1.000
2.839,209.531,-4.800,0.000,0.000,-10.669,-0.050,29.531,0,1.000
2.859,209.312,-6.000,0.000,0.000,-9.853,-0.047,29.312,0,1.000
2.879,208.806,-40.200,0.000,0.000,10.778,0.023,28.806,0,1.000
2.899,207.708,-12.000,0.000,0.000,-5.539,-0.032,27.708,0,1.000
2.919,207.729,0.000,0.000,0.000,-12.707,-0.056,27.729,0,1.000
2.939,207.576,-12.600,0.000,0.000,-5.121,-0.030,27.576,0,1.000
2.959,207.114,-12.600,0.000,0.000,-4.909,-0.029,27.114,0,1.000
2.979,206.191,-63.600,0.000,0.000,25.933,0.075,26.191,0,1.000
2.999,205.378,4.800,0.000,0.000,-14.492,-0.061,25.378,0,1.000
3.019,205.400,0.000,0.000,0.000,-11.639,-0.051,25.400,0,1.000
3.039,205.269,-16.800,0.000,0.000,-1.558,-0.017,25.269,0,1.000
3.059,204.895,-5.400,0.000,0.000,-8.187,-0.039,24.895,0,1.000
3.079,204.631,-33.600,0.000,4.800,8.764,-2.941,24.631,0,1.000
3.099,204.192,-11.400,0.000,0.000,-4.286,-0.026,24.192,0,1.000
3.119,204.148,0.000,0.000,0.000,-11.065,-0.048,24.148,0,1.000
3.150,203.774,-16.800,0.000,0.000,-0.874,-0.014,23.774,0,1.000
3.166,203.599,-5.400,0.000,0.000,-7.593,-0.037,23.599,0,1.000
3.183,203.467,-10.800,0.000,0.000,-4.311,-0.025,23.467,0,1.000
3.200,203.115,-39.600,0.000,0.000,13.028,0.033,23.115,0,1.000
3.220,202.258,-17.400,0.000,0.000,0.179,-0.010,22.258,0,1.000
3.240,202.258,0.000,0.000,0.000,-10.200,-0.045,22.258,0,1.000
3.260,202.258,0.000,0.000,0.000,-10.200,-0.045,22.258,0,1.000
3.280,202.083,-16.800,0.000,0.000,-0.098,-0.011,22.083,0,1.000
3.300,201.973,0.000,0.000,0.000,-10.069,-0.044,21.973,0,1.000
3.320,201.907,-10.800,0.000,0.000,-3.597,-0.022,21.907,0,1.000
3.340,201.731,-4.800,0.000,0.000,-7.095,-0.034,21.731,0,1.000
3.360,201.621,-10.800,0.000,0.000,-3.466,-0.022,21.621,0,1.000
3.380,201.357,-17.400,0.000,0.000,0.592,-0.008,21.357,0,1.000
3.400,200.105,-105.600,0.000,0.000,53.774,0.172,20.105,0,1.000
3.420,199.446,11.400,0.000,0.000,-15.710,-0.062,19.446,0,1.000
3.440,199.534,0.000,0.000,0.000,-8.951,-0.039,19.534,0,1.000
3.459,199.512,0.000,0.000,0.000,-8.941,-0.039,19.512,0,1.000
3.479,199.490,0.000,0.000,0.000,-8.931,-0.039,19.490,0,1.000
3.500,199.446,-0.600,0.000,5.400,-8.543,-3.366,19.446,0,1.000
3.519,199.380,0.000,0.000,0.000,-8.881,-0.039,19.380,0,1.000
3.540,199.226,-0.600,0.000,0.000,-8.452,-0.037,19.226,0,1.000
3.559,199.050,-10.800,0.000,0.000,-2.288,-0.017,19.050,0,1.000
3.579,198.611,-51.000,0.000,0.000,21.892,0.065,18.611,0,1.000
3.599,196.545,-91.800,0.000,0.000,47.174,0.151,16.545,0,1.000
3.619,195.996,0.000,0.000,0.000,-7.330,-0.032,15.996,0,1.000
3.639,196.062,0.000,0.000,0.000,-7.360,-0.032,16.062,0,1.000
3.659,196.040,-4.800,0.000,0.000,-4.487,-0.023,16.040,0,1.000
3.679,196.040,0.000,0.000,0.000,-7.350,-0.032,16.040,0,1.000
3.700,196.018,0.000,0.000,0.000,-7.340,-0.032,16.018,0,1.000
3.719,195.996,-0.600,0.000,4.800,-6.963,-2.989,15.996,0,1.000
3.739,195.974,0.000,0.000,0.000,-7.320,-0.032,15.974,0,1.000
3.759,195.886,-6.600,0.000,0.000,-3.343,-0.019,15.886,0,1.000
3.779,195.645,-6.000,0.000,0.000,-3.590,-0.019,15.645,0,1.000
3.799,195.579,-10.800,0.000,0.000,-0.697,-0.010,15.579,0,1.000
3.819,195.513,4.800,0.000,0.000,-9.972,-0.041,15.513,0,1.000
3.839,195.381,-22.200,0.000,0.000,6.193,0.014,15.381,0,1.000
3.859,194.744,-46.800,0.000,0.000,21.159,0.064,14.744,1,1.000
3.879,194.348,0.000,0.000,0.000,-6.575,-0.029,14.348,1,1.000
3.899,194.370,0.000,0.000,0.000,-6.585,-0.029,14.370,1,1.000
3.919,194.370,0.000,0.000,0.000,-6.585,-0.029,14.370,1,1.000
3.939,194.348,0.000,0.000,0.000,-6.575,-0.029,14.348,1,1.000
3.959,194.326,-5.400,0.000,0.000,-3.344,-0.018,14.326,1,1.000
3.979,194.304,0.000,0.000,0.000,-6.555,-0.029,14.304,1,1.000
4.000,194.260,-10.200,0.000,0.000,-0.451,-0.008,14.260,1,1.000
4.020,194.172,0.000,0.000,0.000,-6.494,-0.028,14.172,1,1.000
4.041,194.128,-4.800,359.978,-10.200,-3.599,-0.769,14.128,1,1.000
4.060,194.084,0.000,359.978,-5.400,-6.433,-3.737,14.084,1,1.000
4.080,194.041,0.000,359.978,0.000,-6.402,-7.065,14.041,1,1.000
4.100,193.975,-0.600,359.978,0.000,-6.014,-7.064,13.975,1,1.000
4.120,193.931,-4.800,359.978,-4.800,-3.498,-4.097,13.931,1,1.000
4.140,193.865,0.000,359.956,0.000,-6.322,-7.064,13.865,1,1.000
4.160,193.821,0.000,359.934,0.000,-6.302,-7.064,13.821,1,1.000
4.180,193.755,-0.600,359.934,0.000,-5.914,-7.062,13.755,1,1.000
4.201,193.689,-0.600,359.912,0.000,-5.883,-7.062,13.689,1,1.000
4.220,193.601,-5.400,359.890,0.000,-2.980,-7.051,13.601,1,1.000
4.240,193.469,0.000,359.868,0.000,-6.141,-7.062,13.469,1,1.000
4.261,192.371,-163.800,359.846,0.000,92.064,-6.730,12.371,0,1.000
4.280,190.942,51.000,359.824,0.000,-35.403,-7.158,10.942,1,1.000
4.300,191.448,-19.200,359.780,0.000,6.238,-7.017,11.448,1,1.000
4.321,191.404,0.000,359.714,-5.400,-5.205,-3.726,11.404,1,1.000
4.340,191.404,0.000,359.539,-16.800,-5.227,3.304,11.404,1,1.000
4.361,191.404,0.000,357.253,-72.000,-5.333,37.372,11.404,1,1.000
4.381,191.404,0.000,357.209,5.400,-5.184,-10.334,11.404,1,1.000
4.400,191.382,0.000,357.253,0.000,-5.184,-7.006,11.382,1,1.000
4.421,191.338,0.000,357.231,0.000,-5.164,-7.006,11.338,1,1.000
4.440,191.294,0.000,357.209,0.000,-5.144,-7.005,11.294,1,1.000
4.459,191.250,0.000,357.188,0.000,-5.124,-7.005,11.250,1,1.000
4.479,191.206,0.000,357.166,0.000,-5.104,-7.004,11.206,1,1.000
4.499,191.162,0.000,357.122,0.000,-5.084,-7.003,11.162,1,1.000
4.519,191.140,0.000,357.012,-5.400,-5.084,-3.673,11.140,1,1.000
4.540,191.096,0.000,356.924,0.000,-5.054,-6.999,11.096,1,1.000
4.560,191.052,0.000,356.858,0.000,-5.033,-6.998,11.052,1,1.000
4.580,191.030,0.000,356.748,0.000,-5.023,-6.996,11.030,1,1.000
4.600,190.986,0.000,356.506,-16.800,-5.035,3.364,10.986,1,1.000
4.620,190.942,0.000,355.474,-70.800,-5.119,36.668,10.942,1,1.000
4.640,190.876,-4.800,355.166,0.000,-2.090,-6.955,10.876,1,1.000
4.659,190.811,-5.400,355.188,0.000,-1.702,-6.954,10.811,1,1.000
4.679,190.745,0.000,355.166,0.000,-4.893,-6.964,10.745,1,1.000
4.699,190.569,-12.600,355.166,0.000,2.703,-6.939,10.569,1,1.000
4.720,188.240,-107.400,355.122,-4.800,60.306,-3.784,8.240,0,1.000
4.739,187.668,7.200,355.122,5.400,-7.767,-10.300,7.668,1,1.000
4.759,187.800,0.000,355.056,-1.200,-3.546,-6.217,7.800,1,1.000
4.779,187.800,0.000,354.858,-4.800,-3.553,-3.994,7.800,1,1.000
4.799,187.800,0.000,354.661,-1.200,-3.546,-6.209,7.800,1,1.000
4.819,187.800,0.000,353.892,-87.000,-3.711,46.690,7.800,1,1.000
4.839,187.778,0.000,352.332,4.800,-3.524,-9.861,7.778,1,1.000
4.859,187.778,-4.800,352.375,0.000,-0.671,-6.894,7.778,1,1.000
4.879,187.778,0.000,352.354,0.000,-3.534,-6.903,7.778,1,1.000
4.899,187.756,-4.800,352.332,0.000,-0.660,-6.893,7.756,1,1.000
4.919,187.756,0.000,352.266,-0.600,-3.525,-6.532,7.756,1,1.000
4.940,187.756,0.000,352.112,-4.800,-3.533,-3.940,7.756,1,1.000
4.959,187.734,0.000,352.024,0.000,-3.513,-6.897,7.734,1,1.000
4.979,187.712,0.000,351.936,-5.400,-3.514,-3.567,7.712,1,1.000
5.000,187.712,0.000,351.782,-5.400,-3.514,-3.564,7.712,1,1.000
5.020,187.690,0.000,351.650,-10.800,-3.514,-0.233,7.690,1,1.000
5.040,187.646,-10.800,350.859,-88.800,2.798,47.881,7.646,1,1.000
5.060,187.646,0.000,349.717,28.200,-3.419,-24.233,7.646,1,1.000
5.079,187.646,4.800,349.695,-5.400,-6.347,-3.532,7.646,1,1.000
5.099,187.625,0.000,349.673,0.000,-3.463,-6.851,7.625,1,1.000
5.119,187.581,0.000,349.651,-5.400,-3.454,-3.522,7.581,1,1.000
5.140,187.537,0.000,349.629,0.000,-3.423,-6.850,7.537,1,1.000
5.160,187.493,-5.400,349.563,-0.600,-0.183,-6.468,7.493,1,1.000
5.180,187.471,0.000,349.475,-10.200,-3.412,-0.560,7.471,1,1.000
5.200,187.471,0.000,349.431,0.000,-3.393,-6.846,7.471,1,1.000
5.219,187.427,-5.400,349.409,0.000,-0.152,-6.834,7.427,1,1.000
5.239,187.427,0.000,349.321,-10.200,-3.392,-0.556,7.427,1,1.000
5.259,187.405,0.000,349.277,0.000,-3.363,-6.842,7.405,1,1.000
5.279,187.383,0.000,349.233,-0.600,-3.354,-6.472,7.383,1,1.000
5.299,187.361,0.000,349.146,-5.400,-3.353,-3.511,7.361,1,1.000
5.319,187.339,0.000,348.992,-5.400,-3.343,-3.508,7.339,1,1.000
5.339,187.317,0.000,348.047,-139.800,-3.591,79.349,7.317,1,1.000
5.359,187.295,0.000,346.729,20.400,-3.273,-19.366,7.295,1,1.000
5.380,187.295,-4.800,346.772,0.000,-0.449,-6.784,7.295,1,1.000
5.400,187.273,0.000,346.772,0.000,-3.302,-6.793,7.273,1,1.000
5.420,187.251,0.000,346.750,0.000,-3.292,-6.793,7.251,1,1.000
5.440,187.251,0.000,346.729,0.000,-3.292,-6.792,7.251,1,1.000
5.460,187.207,0.000,346.729,0.000,-3.272,-6.792,7.207,1,1.000
5.480,187.185,0.000,346.707,0.000,-3.262,-6.792,7.185,1,1.000
5.500,187.163,0.000,346.663,-10.200,-3.272,-0.504,7.163,1,1.000
5.520,187.141,-5.400,346.641,4.800,-0.012,-9.738,7.141,1,1.000
5.540,187.119,0.000,346.597,0.000,-3.232,-6.789,7.119,1,1.000
5.560,187.119,0.000,346.509,-5.400,-3.242,-3.459,7.119,1,1.000
5.580,187.097,0.000,346.487,0.000,-3.222,-6.787,7.097,1,1.000
5.600,187.053,-5.400,346.443,0.000,0.019,-6.775,7.053,1,1.000
5.620,187.031,0.000,346.377,-10.200,-3.211,-0.498,7.031,1,1.000
5.639,187.031,0.000,346.333,0.000,-3.192,-6.784,7.031,1,1.000
5.659,186.987,0.000,346.289,0.000,-3.172,-6.783,6.987,1,1.000
5.679,186.965,0.000,346.201,-0.600,-3.163,-6.412,6.965,1,1.000
5.699,186.899,-0.600,345.630,-87.000,-2.941,46.855,6.899,1,1.000
5.719,186.262,-118.800,343.477,27.600,68.074,-23.500,6.262,0,1.000
5.739,182.791,-43.200,343.477,0.000,24.519,-6.633,2.791,1,1.000
5.759,182.900,0.000,343.455,0.000,-1.299,-6.720,2.900,1,1.000
5.779,182.944,0.000,343.389,-10.800,-1.340,-0.062,2.944,1,1.000
5.800,182.944,0.000,343.301,-0.600,-1.320,-6.347,2.944,1,1.000
5.820,182.944,0.000,343.279,-4.800,-1.328,-3.758,2.944,1,1.000
5.840,182.944,0.000,343.191,0.000,-1.319,-6.714,2.944,1,1.000
5.860,182.944,0.000,343.125,0.000,-1.319,-6.713,2.944,1,1.000
5.880,182.944,0.000,343.059,0.000,-1.319,-6.712,2.944,1,1.000
5.900,182.944,0.000,342.949,0.000,-1.319,-6.710,2.944,1,1.000
5.920,182.944,0.000,342.773,-16.200,-1.350,3.279,2.944,1,1.000
5.940,182.944,0.000,341.719,-107.400,-1.526,59.512,2.944,1,1.000
5.960,182.944,0.000,341.411,0.600,-1.318,-7.050,2.944,1,1.000
5.980,182.944,0.000,341.477,4.800,-1.310,-9.640,2.944,1,1.000
6.000,182.944,0.000,341.477,0.000,-1.319,-6.681,2.944,1,1.000
6.019,182.944,0.000,341.455,0.000,-1.319,-6.681,2.944,1,1.000
6.039,182.922,0.000,341.433,0.000,-1.309,-6.680,2.922,1,1.000
6.059,182.922,0.000,341.433,-4.800,-1.319,-3.722,2.922,1,1.000
6.079,182.922,0.000,341.411,0.000,-1.309,-6.680,2.922,1,1.000
6.099,182.922,0.000,341.411,-4.800,-1.319,-3.721,2.922,1,1.000
6.119,182.922,0.000,341.389,0.000,-1.309,-6.679,2.922,1,1.000
6.139,182.922,0.000,341.367,0.000,-1.309,-6.679,2.922,1,1.000
6.159,182.922,0.000,341.323,0.000,-1.309,-6.678,2.922,1,1.000
6.179,182.922,0.000,341.301,0.000,-1.309,-6.678,2.922,1,1.000
6.199,182.922,0.000,341.257,-5.400,-1.320,-3.348,2.922,1,1.000
6.219,182.922,0.000,341.213,-10.800,-1.330,-0.019,2.922,1,1.000
6.239,182.922,0.000,341.213,0.000,-1.309,-6.676,2.922,1,1.000
6.259,182.922,0.000,341.191,-4.800,-1.319,-3.717,2.922,1,1.000
6.279,182.922,0.000,341.169,0.000,-1.309,-6.675,2.922,1,1.000
6.299,182.900,0.000,341.147,-4.800,-1.309,-3.716,2.900,1,1.000
6.319,182.900,4.800,341.104,-5.400,-4.173,-3.355,2.900,1,1.000
6.340,182.900,-4.800,341.104,0.000,1.564,-6.664,2.900,1,1.000
6.360,182.878,0.000,341.060,0.000,-1.289,-6.673,2.878,1,1.000
6.380,182.878,0.000,341.016,-4.800,-1.298,-3.713,2.878,1,1.000
6.400,182.878,0.000,340.972,-0.600,-1.290,-6.301,2.878,1,1.000
6.419,182.878,0.000,340.906,-4.800,-1.298,-3.711,2.878,1,1.000
6.439,182.878,0.000,340.774,-6.600,-1.302,-2.599,2.878,1,1.000
6.459,182.878,0.000,338.840,-193.800,-1.661,112.822,2.878,1,1.000
6.479,182.878,0.000,337.390,42.000,-1.209,-32.488,2.878,1,1.000
6.499,182.878,0.000,338.247,0.000,-1.289,-6.618,2.878,1,1.000
6.519,182.856,0.000,338.203,0.000,-1.279,-6.617,2.856,1,1.000
6.539,182.856,0.000,338.181,-4.800,-1.289,-3.658,2.856,1,1.000
6.559,182.834,0.000,338.181,-4.800,-1.279,-3.658,2.834,1,1.000
6.579,182.834,0.000,338.159,0.000,-1.269,-6.616,2.834,1,1.000
6.599,182.834,0.000,338.137,0.000,-1.269,-6.615,2.834,1,1.000
6.619,182.812,0.000,338.093,0.000,-1.259,-6.615,2.812,1,1.000
6.639,182.812,0.000,338.071,-0.600,-1.260,-6.244,2.812,1,1.000
6.659,182.812,0.000,338.027,0.000,-1.259,-6.613,2.812,1,1.000
6.680,182.769,0.000,337.983,-0.600,-1.240,-6.243,2.769,1,1.000
6.700,182.747,0.000,337.939,-5.400,-1.239,-3.283,2.747,1,1.000
6.720,182.703,-0.600,337.917,0.000,-0.851,-6.610,2.703,1,1.000
6.740,182.681,0.000,337.874,-0.600,-1.200,-6.240,2.681,1,1.000
6.760,182.659,0.000,337.808,0.000,-1.189,-6.609,2.659,1,1.000
6.780,182.659,0.000,337.654,-10.800,-1.210,0.051,2.659,1,1.000
6.800,182.637,0.000,336.028,-151.800,-1.470,86.990,2.637,1,1.000
6.820,182.615,0.000,335.039,34.800,-1.102,-28.004,2.615,1,1.000
6.840,182.593,0.000,335.105,-0.600,-1.160,-6.186,2.593,1,1.000
6.859,182.593,-4.800,335.105,0.000,1.704,-6.546,2.593,1,1.000
