时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),能量(J),策略,是否平衡
9.540,14.744,80.400,355.715,22.800,-156.000,-83.200,165.256,-0.000,旋转能量启摆,0
9.560,16.150,-47.400,355.869,-24.000,156.000,83.200,163.850,-0.000,旋转能量启摆,0
9.580,15.095,58.800,355.671,18.000,-156.000,-83.200,164.905,-0.000,旋转能量启摆,0
9.600,16.260,-35.400,355.781,-27.600,156.000,83.200,163.740,-0.000,旋转能量启摆,0
9.620,15.623,49.200,355.605,7.200,-156.000,-83.200,164.377,-0.000,旋转能量启摆,0
9.640,16.414,-54.600,355.671,-22.800,156.000,83.200,163.586,-0.000,旋转能量启摆,0
9.660,15.579,63.000,355.562,16.800,-156.000,-83.200,164.421,-0.000,旋转能量启摆,0
9.680,16.545,-58.800,355.671,-11.400,156.000,83.200,163.455,-0.000,旋转能量启摆,0
9.700,15.381,86.400,355.627,27.600,-156.000,-83.200,164.619,-0.000,旋转能量启摆,0
9.720,16.436,-103.800,355.649,-22.200,156.000,83.200,163.564,-0.000,旋转能量启摆,0
9.740,15.073,110.400,355.627,6.600,-156.000,-83.200,164.927,-0.000,旋转能量启摆,0
9.760,16.523,-114.000,355.649,-16.200,156.000,83.200,163.477,-0.000,旋转能量启摆,0
9.780,14.919,127.200,355.540,0.000,-156.000,-83.200,165.081,-0.000,旋转能量启摆,0
9.800,16.545,-124.200,355.518,-0.600,156.000,83.200,163.455,-0.000,旋转能量启摆,0
9.820,15.227,135.000,355.474,10.800,-156.000,-83.200,164.773,-0.000,旋转能量启摆,0
9.840,16.787,-124.800,355.496,-10.800,156.000,83.200,163.213,-0.000,旋转能量启摆,0
9.860,15.073,128.400,355.605,11.400,-156.000,-83.200,164.927,-0.000,旋转能量启摆,0
9.880,16.765,-135.600,355.693,-10.800,156.000,83.200,163.235,-0.000,旋转能量启摆,0
9.900,15.117,92.400,355.693,1.200,-156.000,-83.200,164.883,-0.000,旋转能量启摆,0
9.920,16.611,-123.600,355.781,-0.600,156.000,83.200,163.389,-0.000,旋转能量启摆,0
9.940,15.381,87.600,355.825,0.600,-156.000,-83.200,164.619,-0.000,旋转能量启摆,0
9.960,16.809,-94.800,356.001,0.000,156.000,83.200,163.191,-0.000,旋转能量启摆,0
9.980,15.403,86.400,356.155,29.400,-156.000,-83.200,164.597,-0.000,旋转能量启摆,0
10.000,16.392,-106.200,356.836,0.000,156.000,83.200,163.608,-0.000,旋转能量启摆,0
10.020,14.612,82.200,357.188,52.800,-156.000,-83.200,165.388,-0.000,旋转能量启摆,0
10.040,15.996,-107.400,357.913,-0.600,156.000,83.200,164.004,-0.000,旋转能量启摆,0
10.060,14.524,85.200,358.044,30.000,-156.000,-83.200,165.476,-0.000,旋转能量启摆,0
10.080,15.908,-75.000,358.374,-22.200,156.000,83.200,164.092,-0.000,旋转能量启摆,0
10.100,14.480,64.200,358.176,42.000,-156.000,-83.200,165.520,-0.000,旋转能量启摆,0
10.120,15.886,-57.600,358.154,-12.000,156.000,83.200,164.114,-0.000,旋转能量启摆,0
10.140,14.546,63.600,358.110,5.400,-156.000,-83.200,165.454,-0.000,旋转能量启摆,0
10.160,15.776,-57.000,358.110,-15.600,156.000,83.200,164.224,-0.000,旋转能量启摆,0
10.180,14.985,64.200,358.088,0.600,-156.000,-83.200,165.015,-0.000,旋转能量启摆,0
10.200,16.018,-67.200,358.088,-5.400,156.000,83.200,163.982,-0.000,旋转能量启摆,0
10.220,15.095,60.000,358.066,10.800,-156.000,-83.200,164.905,-0.000,旋转能量启摆,0
10.240,16.128,-65.400,358.044,-16.200,156.000,83.200,163.872,-0.000,旋转能量启摆,0
10.260,15.359,82.800,357.979,0.600,-156.000,-83.200,164.641,-0.000,旋转能量启摆,0
10.280,16.370,-103.800,357.979,-16.800,156.000,83.200,163.630,-0.000,旋转能量启摆,0
10.300,14.919,180.600,357.869,17.400,-156.000,-83.200,165.081,0.000,旋转能量启摆,0
10.320,16.611,-172.200,357.825,-22.800,156.000,83.200,163.389,0.000,旋转能量启摆,0
10.340,14.766,169.200,357.012,1.200,-156.000,-83.200,165.234,0.000,旋转能量启摆,0
10.360,16.282,-149.400,356.924,-40.800,156.000,83.200,163.718,-0.000,旋转能量启摆,0
10.380,14.546,169.800,356.375,12.600,-156.000,-83.200,165.454,0.000,旋转能量启摆,0
10.401,16.260,-160.200,356.484,-30.000,156.000,83.200,163.740,-0.000,旋转能量启摆,0
10.420,14.436,157.800,356.177,23.400,-156.000,-83.200,165.564,0.000,旋转能量启摆,0
10.440,16.282,-157.200,356.375,-40.800,156.000,83.200,163.718,-0.000,旋转能量启摆,0
10.460,14.875,135.600,356.265,34.800,-156.000,-83.200,165.125,-0.000,旋转能量启摆,0
10.480,16.392,-117.000,356.418,-40.200,156.000,83.200,163.608,-0.000,旋转能量启摆,0
10.500,14.963,110.400,356.287,24.000,-156.000,-83.200,165.037,-0.000,旋转能量启摆,0
10.520,16.326,-96.000,356.440,-40.800,156.000,83.200,163.674,-0.000,旋转能量启摆,0
10.540,15.051,101.400,356.331,33.600,-156.000,-83.200,164.949,-0.000,旋转能量启摆,0
10.560,15.996,-92.400,356.396,-30.600,156.000,83.200,164.004,-0.000,旋转能量启摆,0
10.580,14.875,94.200,356.287,35.400,-156.000,-83.200,165.125,-0.000,旋转能量启摆,0
10.600,15.974,-93.000,356.396,-30.000,156.000,83.200,164.026,-0.000,旋转能量启摆,0
10.620,15.205,95.400,356.287,30.000,-156.000,-83.200,164.795,-0.000,旋转能量启摆,0
10.640,16.172,-87.600,356.331,-29.400,156.000,83.200,163.828,-0.000,旋转能量启摆,0
10.660,15.249,89.400,356.221,18.600,-156.000,-83.200,164.751,-0.000,旋转能量启摆,0
10.680,16.282,-87.000,356.265,-28.800,156.000,83.200,163.718,-0.000,旋转能量启摆,0
10.700,15.491,93.600,356.221,30.000,-156.000,-83.200,164.509,-0.000,旋转能量启摆,0
10.720,16.436,-96.600,356.265,-24.000,156.000,83.200,163.564,-0.000,旋转能量启摆,0
10.740,15.491,95.400,356.265,12.600,-156.000,-83.200,164.509,-0.000,旋转能量启摆,0
10.760,16.545,-87.600,356.287,-29.400,156.000,83.200,163.455,-0.000,旋转能量启摆,0
10.780,15.447,101.400,356.265,7.800,-156.000,-83.200,164.553,-0.000,旋转能量启摆,0
10.800,16.611,-106.200,356.331,-24.000,156.000,83.200,163.389,-0.000,旋转能量启摆,0
10.820,15.645,102.600,356.243,12.600,-156.000,-83.200,164.355,-0.000,旋转能量启摆,0
10.840,16.853,-98.400,356.331,-23.400,156.000,83.200,163.147,-0.000,旋转能量启摆,0
10.860,15.688,109.800,356.265,6.600,-156.000,-83.200,164.312,-0.000,旋转能量启摆,0
10.880,16.919,-88.800,356.418,-16.800,156.000,83.200,163.081,-0.000,旋转能量启摆,0
10.900,15.996,88.800,356.353,28.200,-156.000,-83.200,164.004,-0.000,旋转能量启摆,0
10.920,17.095,-72.000,356.418,-13.200,156.000,83.200,162.905,-0.000,旋转能量启摆,0
10.940,16.084,78.000,356.265,18.000,-156.000,-83.200,163.916,-0.000,旋转能量启摆,0
10.960,17.117,-67.800,356.287,-28.200,156.000,83.200,162.883,-0.000,旋转能量启摆,0
10.980,16.348,67.200,356.155,13.200,-156.000,-83.200,163.652,-0.000,旋转能量启摆,0
11.000,17.380,-66.000,356.133,-22.800,156.000,83.200,162.620,-0.000,旋转能量启摆,0
11.020,16.348,83.400,355.891,19.200,-156.000,-83.200,163.652,-0.000,旋转能量启摆,0
11.040,17.512,-68.400,355.979,-18.000,156.000,83.200,162.488,-0.000,旋转能量启摆,0
11.060,16.611,81.000,355.847,18.600,-156.000,-83.200,163.389,-0.000,旋转能量启摆,0
11.080,17.820,-66.000,355.935,-23.400,156.000,83.200,162.180,-0.000,旋转能量启摆,0
11.100,16.655,94.800,355.803,13.200,-156.000,-83.200,163.345,-0.000,旋转能量启摆,0
11.120,18.083,-77.400,355.825,-28.200,156.000,83.200,161.917,-0.000,旋转能量启摆,0
11.140,16.567,89.400,355.671,17.400,-156.000,-83.200,163.433,-0.000,旋转能量启摆,0
11.160,17.842,-82.800,355.737,-24.000,156.000,83.200,162.158,-0.000,旋转能量启摆,0
11.180,16.238,90.600,355.540,25.200,-156.000,-83.200,163.762,-0.000,旋转能量启摆,0
11.200,17.842,-82.800,355.671,-17.400,156.000,83.200,162.158,-0.000,旋转能量启摆,0
11.220,16.084,101.400,355.583,18.000,-156.000,-83.200,163.916,-0.000,旋转能量启摆,0
11.240,17.578,-88.200,355.715,-22.200,156.000,83.200,162.422,-0.000,旋转能量启摆,0
11.260,15.820,99.600,355.627,28.800,-156.000,-83.200,164.180,-0.000,旋转能量启摆,0
11.280,17.578,-87.600,355.847,-23.400,156.000,83.200,162.422,-0.000,旋转能量启摆,0
11.300,15.732,105.600,355.737,13.200,-156.000,-83.200,164.268,-0.000,旋转能量启摆,0
11.320,17.578,-87.600,355.935,-23.400,156.000,83.200,162.422,-0.000,旋转能量启摆,0
11.340,15.623,92.400,355.781,27.600,-156.000,-83.200,164.377,-0.000,旋转能量启摆,0
11.360,17.249,-87.000,355.913,-18.000,156.000,83.200,162.751,-0.000,旋转能量启摆,0
11.380,15.403,104.400,355.759,24.600,-156.000,-83.200,164.597,-0.000,旋转能量启摆,0
11.400,17.271,-87.000,355.891,-23.400,156.000,83.200,162.729,-0.000,旋转能量启摆,0
11.420,15.688,98.400,355.781,13.200,-156.000,-83.200,164.312,-0.000,旋转能量启摆,0
11.440,17.446,-78.000,355.935,-23.400,156.000,83.200,162.554,-0.000,旋转能量启摆,0
11.460,15.667,103.800,355.803,23.400,-156.000,-83.200,164.333,-0.000,旋转能量启摆,0
11.480,17.446,-77.400,355.935,-28.200,156.000,83.200,162.554,-0.000,旋转能量启摆,0
11.500,15.623,91.200,355.759,28.800,-156.000,-83.200,164.377,-0.000,旋转能量启摆,0
11.520,17.139,-88.200,355.869,-12.000,156.000,83.200,162.861,-0.000,旋转能量启摆,0
11.540,15.447,103.200,355.737,18.000,-156.000,-83.200,164.553,-0.000,旋转能量启摆,0
11.560,17.205,-82.800,355.847,-21.600,156.000,83.200,162.795,-0.000,旋转能量启摆,0
11.580,15.447,98.400,355.759,29.400,-156.000,-83.200,164.553,-0.000,旋转能量启摆,0
11.600,16.941,-88.200,355.891,-17.400,156.000,83.200,163.059,-0.000,旋转能量启摆,0
11.620,15.271,103.200,355.847,28.800,-156.000,-83.200,164.729,-0.000,旋转能量启摆,0
11.640,16.985,-87.600,355.979,-18.000,156.000,83.200,163.015,-0.000,旋转能量启摆,0
11.660,15.205,104.400,355.891,22.800,-156.000,-83.200,164.795,-0.000,旋转能量启摆,0
11.680,16.699,-88.800,356.001,-22.800,156.000,83.200,163.301,-0.000,旋转能量启摆,0
11.700,15.051,108.600,355.869,13.200,-156.000,-83.200,164.949,-0.000,旋转能量启摆,0
11.720,16.743,-88.200,355.935,-32.400,156.000,83.200,163.257,-0.000,旋转能量启摆,0
11.740,14.985,109.800,355.803,23.400,-156.000,-83.200,165.015,-0.000,旋转能量启摆,0
11.760,16.809,-93.000,355.913,-23.400,156.000,83.200,163.191,-0.000,旋转能量启摆,0
11.780,14.941,105.600,355.803,18.600,-156.000,-83.200,165.059,-0.000,旋转能量启摆,0
11.800,16.545,-104.400,355.957,-17.400,156.000,83.200,163.455,-0.000,旋转能量启摆,0
11.820,14.766,114.000,355.891,24.000,-156.000,-83.200,165.234,-0.000,旋转能量启摆,0
11.840,16.545,-114.000,356.001,-23.400,156.000,83.200,163.455,-0.000,旋转能量启摆,0
11.860,15.051,100.200,355.913,18.000,-156.000,-83.200,164.949,-0.000,旋转能量启摆,0
11.880,16.699,-94.200,356.045,-17.400,156.000,83.200,163.301,-0.000,旋转能量启摆,0
11.900,15.029,102.000,356.001,23.400,-156.000,-83.200,164.971,-0.000,旋转能量启摆,0
11.920,16.721,-88.200,356.199,-1.200,156.000,83.200,163.279,-0.000,旋转能量启摆,0
11.940,14.919,98.400,356.155,22.200,-156.000,-83.200,165.081,-0.000,旋转能量启摆,0
11.960,16.326,-106.200,356.353,-18.000,156.000,83.200,163.674,-0.000,旋转能量启摆,0
11.980,14.634,88.200,356.243,13.200,-156.000,-83.200,165.366,-0.000,旋转能量启摆,0
12.000,16.304,-88.800,356.331,-27.000,156.000,83.200,163.696,-0.000,旋转能量启摆,0
12.020,14.546,85.800,356.155,12.600,-156.000,-83.200,165.454,-0.000,旋转能量启摆,0
12.040,15.952,-103.800,356.243,-22.800,156.000,83.200,164.048,-0.000,旋转能量启摆,0
12.060,14.348,87.600,356.111,12.600,-156.000,-83.200,165.652,-0.000,旋转能量启摆,0
12.080,15.996,-88.800,356.243,-22.800,156.000,83.200,164.004,-0.000,旋转能量启摆,0
12.100,14.392,91.200,356.111,24.000,-156.000,-83.200,165.608,-0.000,旋转能量启摆,0
12.120,16.106,-88.800,356.265,-17.400,156.000,83.200,163.894,-0.000,旋转能量启摆,0
12.140,14.766,111.000,356.199,23.400,-156.000,-83.200,165.234,-0.000,旋转能量启摆,0
12.160,16.348,-95.400,356.331,-26.400,156.000,83.200,163.652,-0.000,旋转能量启摆,0
12.180,14.810,92.400,356.221,18.000,-156.000,-83.200,165.190,-0.000,旋转能量启摆,0
12.200,16.216,-82.800,356.375,-10.800,156.000,83.200,163.784,-0.000,旋转能量启摆,0
12.220,15.249,52.800,356.440,23.400,-156.000,-83.200,164.751,-0.000,旋转能量启摆,0
12.240,16.304,-57.600,356.550,-16.800,156.000,83.200,163.696,-0.000,旋转能量启摆,0
12.260,15.293,81.600,356.484,16.800,-156.000,-83.200,164.707,-0.000,旋转能量启摆,0
12.280,16.370,-60.000,356.528,-6.600,156.000,83.200,163.630,-0.000,旋转能量启摆,0
12.300,15.249,73.200,356.418,17.400,-156.000,-83.200,164.751,-0.000,旋转能量启摆,0
12.320,16.150,-73.800,356.484,-6.600,156.000,83.200,163.850,-0.000,旋转能量启摆,0
12.340,15.227,94.200,356.440,18.000,-156.000,-83.200,164.773,-0.000,旋转能量启摆,0
12.360,16.238,-89.400,356.506,-34.200,156.000,83.200,163.762,-0.000,旋转能量启摆,0
12.380,15.183,96.000,356.506,28.800,-156.000,-83.200,164.817,-0.000,旋转能量启摆,0
12.400,15.974,-98.400,356.594,-18.000,156.000,83.200,164.026,-0.000,旋转能量启摆,0
12.420,15.007,102.600,356.616,13.200,-156.000,-83.200,164.993,-0.000,旋转能量启摆,0
12.440,15.974,-110.400,356.638,-22.800,156.000,83.200,164.026,-0.000,旋转能量启摆,0
12.460,14.875,107.400,356.638,23.400,-156.000,-83.200,165.125,-0.000,旋转能量启摆,0
12.480,15.930,-99.000,356.682,-23.400,156.000,83.200,164.070,-0.000,旋转能量启摆,0
12.500,15.073,115.800,356.660,34.800,-156.000,-83.200,164.927,-0.000,旋转能量启摆,0
12.520,16.040,-99.600,356.660,-24.000,156.000,83.200,163.960,-0.000,旋转能量启摆,0
12.540,15.073,105.000,356.594,25.200,-156.000,-83.200,164.927,-0.000,旋转能量启摆,0
12.560,16.128,-101.400,356.616,-28.200,156.000,83.200,163.872,-0.000,旋转能量启摆,0
12.580,15.337,95.400,356.528,24.600,-156.000,-83.200,164.663,-0.000,旋转能量启摆,0
12.600,16.326,-94.200,356.528,-34.200,156.000,83.200,163.674,-0.000,旋转能量启摆,0
12.620,15.381,105.000,356.462,30.000,-156.000,-83.200,164.619,-0.000,旋转能量启摆,0
12.640,16.392,-99.600,356.440,-24.000,156.000,83.200,163.608,-0.000,旋转能量启摆,0
12.660,15.337,102.000,356.396,19.800,-156.000,-83.200,164.663,-0.000,旋转能量启摆,0
12.680,16.172,-103.800,356.396,-28.800,156.000,83.200,163.828,-0.000,旋转能量启摆,0
12.700,15.161,102.000,356.331,25.800,-156.000,-83.200,164.839,-0.000,旋转能量启摆,0
12.720,16.172,-111.600,356.353,-33.600,156.000,83.200,163.828,-0.000,旋转能量启摆,0
12.740,14.941,123.600,356.353,48.000,-156.000,-83.200,165.059,-0.000,旋转能量启摆,0
12.760,15.842,-127.800,356.418,-19.800,156.000,83.200,164.158,-0.000,旋转能量启摆,0
12.780,14.282,142.200,356.396,25.800,-156.000,-83.200,165.718,-0.000,旋转能量启摆,0
12.800,16.062,-159.000,356.440,-29.400,156.000,83.200,163.938,-0.000,旋转能量启摆,0
12.820,14.172,158.400,356.418,42.000,-156.000,-83.200,165.828,0.000,旋转能量启摆,0
12.840,16.128,-167.400,356.484,-24.000,156.000,83.200,163.872,0.000,旋转能量启摆,0
12.860,14.084,163.800,356.462,36.600,-156.000,-83.200,165.916,0.000,旋转能量启摆,0
12.880,15.776,-169.200,356.484,-29.400,156.000,83.200,164.224,0.000,旋转能量启摆,0
12.900,13.777,153.000,356.506,36.600,-156.000,-83.200,166.223,0.000,旋转能量启摆,0
12.920,15.798,-160.800,356.550,-30.000,156.000,83.200,164.202,0.000,旋转能量启摆,0
12.940,13.711,154.800,356.243,38.400,-156.000,-83.200,166.289,0.000,旋转能量启摆,0
12.960,15.469,-157.200,356.331,-31.200,156.000,83.200,164.531,0.000,旋转能量启摆,0
12.980,13.403,153.600,356.067,48.000,-156.000,-83.200,166.597,0.000,旋转能量启摆,0
13.000,15.469,-170.400,356.265,-36.000,156.000,83.200,164.531,0.000,旋转能量启摆,0
13.020,13.821,159.000,356.133,41.400,-156.000,-83.200,166.179,0.000,旋转能量启摆,0
13.040,15.732,-153.600,356.287,-36.000,156.000,83.200,164.268,-0.000,旋转能量启摆,0
13.060,13.843,165.000,356.155,53.400,-156.000,-83.200,166.157,0.000,旋转能量启摆,0
13.080,15.798,-153.000,356.287,-46.200,156.000,83.200,164.202,-0.000,旋转能量启摆,0
13.100,13.799,153.600,356.155,49.200,-156.000,-83.200,166.201,0.000,旋转能量启摆,0
13.120,15.535,-163.200,356.199,-36.000,156.000,83.200,164.465,0.000,旋转能量启摆,0
13.140,13.491,147.600,356.067,48.600,-156.000,-83.200,166.509,0.000,旋转能量启摆,0
13.160,15.535,-157.200,356.199,-30.000,156.000,83.200,164.465,0.000,旋转能量启摆,0
13.180,13.447,153.000,356.001,37.200,-156.000,-83.200,166.553,0.000,旋转能量启摆,0
13.200,15.139,-152.400,356.089,-24.000,156.000,83.200,164.861,0.000,旋转能量启摆,0
13.221,13.359,131.400,356.067,31.800,-156.000,-83.200,166.641,-0.000,旋转能量启摆,0
13.241,15.425,-140.400,356.155,-24.000,156.000,83.200,164.575,-0.000,旋转能量启摆,0
13.261,14.041,136.200,356.177,34.800,-156.000,-83.200,165.959,-0.000,旋转能量启摆,0
13.280,15.688,-116.400,356.221,-13.200,156.000,83.200,164.312,-0.000,旋转能量启摆,0
13.300,14.678,123.000,356.221,30.000,-156.000,-83.200,165.322,-0.000,旋转能量启摆,0
13.320,15.732,-129.000,356.177,-22.800,156.000,83.200,164.268,-0.000,旋转能量启摆,0
13.340,14.700,123.000,356.155,19.200,-156.000,-83.200,165.300,-0.000,旋转能量启摆,0
13.360,15.732,-115.800,356.089,-13.200,156.000,83.200,164.268,-0.000,旋转能量启摆,0
13.380,14.788,117.000,356.045,24.600,-156.000,-83.200,165.212,-0.000,旋转能量启摆,0
13.400,15.601,-102.000,356.023,-24.000,156.000,83.200,164.399,-0.000,旋转能量启摆,0
13.420,14.810,119.400,355.979,24.600,-156.000,-83.200,165.190,-0.000,旋转能量启摆,0
13.440,15.754,-106.200,355.979,-23.400,156.000,83.200,164.246,-0.000,旋转能量启摆,0
13.460,14.810,124.200,355.891,36.600,-156.000,-83.200,165.190,-0.000,旋转能量启摆,0
13.480,15.491,-122.400,355.869,-23.400,156.000,83.200,164.509,-0.000,旋转能量启摆,0
13.500,14.634,106.200,355.781,42.600,-156.000,-83.200,165.366,-0.000,旋转能量启摆,0
13.520,15.469,-111.000,355.825,-24.000,156.000,83.200,164.531,-0.000,旋转能量启摆,0
13.540,14.546,114.600,355.759,36.000,-156.000,-83.200,165.454,-0.000,旋转能量启摆,0
13.560,15.249,-121.800,355.803,-12.000,156.000,83.200,164.751,-0.000,旋转能量启摆,0
13.580,14.282,121.800,355.781,7.200,-156.000,-83.200,165.718,-0.000,旋转能量启摆,0
13.600,15.425,-100.800,355.825,-11.400,156.000,83.200,164.575,-0.000,旋转能量启摆,0
13.620,13.821,119.400,355.825,12.000,-156.000,-83.200,166.179,-0.000,旋转能量启摆,0
13.640,15.139,-107.400,355.869,-6.600,156.000,83.200,164.861,-0.000,旋转能量启摆,0
13.660,14.084,125.400,355.847,4.800,-156.000,-83.200,165.916,-0.000,旋转能量启摆,0
13.680,14.854,-106.200,355.869,-15.600,156.000,83.200,165.146,-0.000,旋转能量启摆,0
13.700,13.909,117.600,355.847,0.600,-156.000,-83.200,166.091,-0.000,旋转能量启摆,0
13.720,14.810,-121.800,355.847,-6.000,156.000,83.200,165.190,-0.000,旋转能量启摆,0
13.740,13.711,103.800,355.847,0.000,-156.000,-83.200,166.289,-0.000,旋转能量启摆,0
13.760,14.590,-127.800,355.825,-10.200,156.000,83.200,165.410,-0.000,旋转能量启摆,0
13.780,13.381,117.600,355.825,1.200,-156.000,-83.200,166.619,-0.000,旋转能量启摆,0
13.800,14.656,-115.200,355.803,-0.600,156.000,83.200,165.344,-0.000,旋转能量启摆,0
13.820,13.381,109.800,355.803,6.600,-156.000,-83.200,166.619,-0.000,旋转能量启摆,0
13.840,14.458,-122.400,355.781,-10.800,156.000,83.200,165.542,-0.000,旋转能量启摆,0
13.860,13.359,121.800,355.803,6.600,-156.000,-83.200,166.641,-0.000,旋转能量启摆,0
13.880,14.502,-111.600,355.781,-0.600,156.000,83.200,165.498,-0.000,旋转能量启摆,0
13.900,13.425,116.400,355.781,6.000,-156.000,-83.200,166.575,-0.000,旋转能量启摆,0
13.920,14.304,-117.600,355.737,-4.800,156.000,83.200,165.696,-0.000,旋转能量启摆,0
13.940,13.293,126.000,355.759,6.600,-156.000,-83.200,166.707,-0.000,旋转能量启摆,0
13.960,14.238,-116.400,355.737,-1.200,156.000,83.200,165.762,-0.000,旋转能量启摆,0
13.980,13.250,122.400,355.737,10.800,-156.000,-83.200,166.750,-0.000,旋转能量启摆,0
14.000,14.194,-111.600,355.715,-4.800,156.000,83.200,165.806,-0.000,旋转能量启摆,0
14.020,13.228,122.400,355.737,6.000,-156.000,-83.200,166.772,-0.000,旋转能量启摆,0
14.040,13.953,-111.600,355.715,-1.200,156.000,83.200,166.047,-0.000,旋转能量启摆,0
14.060,13.052,99.000,355.715,10.800,-156.000,-83.200,166.948,-0.000,旋转能量启摆,0
14.080,13.821,-121.200,355.715,-10.800,156.000,83.200,166.179,-0.000,旋转能量启摆,0
14.100,13.162,116.400,355.715,6.000,-156.000,-83.200,166.838,-0.000,旋转能量启摆,0
14.120,13.865,-121.800,355.693,-5.400,156.000,83.200,166.135,-0.000,旋转能量启摆,0
14.140,13.118,99.600,355.693,0.000,-156.000,-83.200,166.882,-0.000,旋转能量启摆,0
14.160,13.909,-104.400,355.671,-0.600,156.000,83.200,166.091,-0.000,旋转能量启摆,0
14.180,13.337,111.000,355.671,1.200,-156.000,-83.200,166.663,-0.000,旋转能量启摆,0
14.200,13.975,-94.200,355.671,-4.800,156.000,83.200,166.025,-0.000,旋转能量启摆,0
14.220,13.206,99.600,355.693,0.000,-156.000,-83.200,166.794,-0.000,旋转能量启摆,0
14.240,13.865,-88.800,355.693,-10.800,156.000,83.200,166.135,-0.000,旋转能量启摆,0
14.260,13.096,92.400,355.715,0.000,-156.000,-83.200,166.904,-0.000,旋转能量启摆,0
14.280,13.645,-82.800,355.715,-4.800,156.000,83.200,166.355,-0.000,旋转能量启摆,0
14.300,13.008,99.000,355.715,0.600,-156.000,-83.200,166.992,-0.000,旋转能量启摆,0
14.320,13.711,-82.800,355.693,-4.800,156.000,83.200,166.289,-0.000,旋转能量启摆,0
14.340,12.964,92.400,355.693,0.600,-156.000,-83.200,167.036,-0.000,旋转能量启摆,0
14.360,13.513,-85.800,355.671,-0.600,156.000,83.200,166.487,-0.000,旋转能量启摆,0
14.380,12.766,97.800,355.671,0.600,-156.000,-83.200,167.234,-0.000,旋转能量启摆,0
14.400,13.579,-100.800,355.671,-4.800,156.000,83.200,166.421,-0.000,旋转能量启摆,0
14.420,12.217,133.200,355.671,0.000,-156.000,-83.200,167.783,0.000,旋转能量启摆,0
14.440,13.777,-130.800,355.671,-0.600,156.000,83.200,166.223,-0.000,旋转能量启摆,0
14.460,12.393,124.200,355.649,0.600,-156.000,-83.200,167.607,0.000,旋转能量启摆,0
14.480,14.128,-130.800,355.671,-6.000,156.000,83.200,165.872,-0.000,旋转能量启摆,0
14.500,12.634,162.000,355.649,0.000,-156.000,-83.200,167.366,0.000,旋转能量启摆,0
14.520,14.414,-142.200,355.649,-5.400,156.000,83.200,165.586,-0.000,旋转能量启摆,0
14.540,12.239,135.600,355.649,5.400,-156.000,-83.200,167.761,0.000,旋转能量启摆,0
14.560,14.128,-142.200,355.649,-11.400,156.000,83.200,165.872,0.000,旋转能量启摆,0
14.580,11.426,129.600,355.671,10.800,-156.000,-83.200,168.574,0.000,旋转能量启摆,0
14.600,13.689,-130.800,355.693,-10.200,156.000,83.200,166.311,-0.000,旋转能量启摆,0
14.620,11.008,115.200,355.693,0.000,-156.000,-83.200,168.992,0.000,旋转能量启摆,0
14.640,13.579,-114.600,355.693,-5.400,156.000,83.200,166.421,-0.000,旋转能量启摆,0
14.660,11.755,123.000,355.715,0.000,-156.000,-83.200,168.245,0.000,旋转能量启摆,0
14.680,13.513,-100.200,355.715,-5.400,156.000,83.200,166.487,-0.000,旋转能量启摆,0
14.700,12.041,110.400,355.715,0.000,-156.000,-83.200,167.959,-0.000,旋转能量启摆,0
14.720,13.206,-109.200,355.715,-0.600,156.000,83.200,166.794,-0.000,旋转能量启摆,0
14.740,11.909,118.200,355.715,5.400,-156.000,-83.200,168.091,-0.000,旋转能量启摆,0
14.760,13.579,-91.800,355.715,-4.800,156.000,83.200,166.421,-0.000,旋转能量启摆,0
14.780,12.217,112.200,355.715,0.000,-156.000,-83.200,167.783,-0.000,旋转能量启摆,0
14.800,14.282,-84.000,355.737,-0.600,156.000,83.200,165.718,-0.000,旋转能量启摆,0
14.820,13.623,127.200,355.737,0.600,-156.000,-83.200,166.377,-0.000,旋转能量启摆,0
14.840,15.205,-61.200,355.715,-10.800,156.000,83.200,164.795,-0.000,旋转能量启摆,0
14.860,14.458,114.600,355.737,0.000,-156.000,-83.200,165.542,-0.000,旋转能量启摆,0
14.880,15.601,-57.000,355.737,-4.800,156.000,83.200,164.399,-0.000,旋转能量启摆,0
14.900,14.897,88.800,355.737,0.000,-156.000,-83.200,165.103,-0.000,旋转能量启摆,0
14.920,15.688,-66.600,355.715,-10.200,156.000,83.200,164.312,-0.000,旋转能量启摆,0
14.940,14.722,66.600,355.715,0.000,-156.000,-83.200,165.278,-0.000,旋转能量启摆,0
14.960,15.425,-67.200,355.715,-5.400,156.000,83.200,164.575,-0.000,旋转能量启摆,0
14.980,14.678,54.600,355.715,5.400,-156.000,-83.200,165.322,-0.000,旋转能量启摆,0
15.000,15.381,-67.200,355.715,-5.400,156.000,83.200,164.619,-0.000,旋转能量启摆,0
15.020,14.590,79.800,355.737,5.400,-156.000,-83.200,165.410,-0.000,旋转能量启摆,0
15.040,15.381,-62.400,355.715,-5.400,156.000,83.200,164.619,-0.000,旋转能量启摆,0
15.060,14.546,76.200,355.715,5.400,-156.000,-83.200,165.454,-0.000,旋转能量启摆,0
15.080,15.491,-99.600,355.693,-5.400,156.000,83.200,164.509,-0.000,旋转能量启摆,0
15.100,14.480,124.200,355.693,6.000,-156.000,-83.200,165.520,-0.000,旋转能量启摆,0
