时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),能量(J),模式,是否平衡
13.479,341.982,-142.800,339.390,-98.400,220.000,220.000,161.982,-0.000,文献能量启摆,0
13.500,338.335,154.200,338.005,151.800,-220.000,-220.000,158.335,-0.000,文献能量启摆,0
13.519,342.268,-151.200,342.202,-102.600,220.000,220.000,162.268,-0.000,文献能量启摆,0
13.539,338.445,153.000,341.060,169.200,-220.000,-220.000,158.445,-0.000,文献能量启摆,0
13.559,342.356,-158.400,345.674,-121.800,220.000,220.000,162.356,-0.000,文献能量启摆,0
13.579,338.445,139.200,344.202,174.000,-220.000,-220.000,158.445,-0.000,文献能量启摆,0
13.599,341.829,-162.000,347.981,-170.400,220.000,220.000,161.829,-0.000,文献能量启摆,0
13.619,337.961,168.600,345.696,165.600,-220.000,-220.000,157.961,-0.000,文献能量启摆,0
13.640,341.675,-163.800,347.981,-198.000,220.000,220.000,161.675,-0.000,文献能量启摆,0
13.660,337.874,153.600,344.927,157.800,-220.000,-220.000,157.874,-0.000,文献能量启摆,0
13.679,341.016,-172.800,347.388,-209.400,220.000,220.000,161.016,-0.000,文献能量启摆,0
13.699,337.346,153.000,344.246,153.600,-220.000,-220.000,157.346,-0.000,文献能量启摆,0
13.719,340.840,-157.200,347.344,-188.400,220.000,220.000,160.840,-0.000,文献能量启摆,0
13.739,337.742,175.800,344.839,176.400,-220.000,-220.000,157.742,-0.000,文献能量启摆,0
13.759,341.345,-162.000,347.673,-208.200,220.000,220.000,161.345,-0.000,文献能量启摆,0
13.780,337.830,168.600,344.883,175.800,-220.000,-220.000,157.830,-0.000,文献能量启摆,0
13.799,341.609,-162.600,347.783,-200.400,220.000,220.000,161.609,-0.000,文献能量启摆,0
13.819,337.764,162.600,344.202,169.800,-220.000,-220.000,157.764,-0.000,文献能量启摆,0
13.840,341.917,-137.400,347.388,-207.600,220.000,220.000,161.917,-0.000,文献能量启摆,0
13.859,338.357,169.800,343.740,168.000,-220.000,-220.000,158.357,-0.000,文献能量启摆,0
13.879,342.576,-163.800,346.641,-202.800,220.000,220.000,162.576,-0.000,文献能量启摆,0
13.899,338.313,170.400,342.883,159.000,-220.000,-220.000,158.313,-0.000,文献能量启摆,0
13.919,342.136,-168.000,346.355,-170.400,220.000,220.000,162.136,-0.000,文献能量启摆,0
13.939,337.764,141.600,342.444,147.600,-220.000,-220.000,157.764,-0.000,文献能量启摆,0
13.959,342.092,-162.600,345.388,-172.800,220.000,220.000,162.092,-0.000,文献能量启摆,0
13.980,337.654,153.000,341.257,157.800,-220.000,-220.000,157.654,-0.000,文献能量启摆,0
14.000,342.136,-168.000,344.905,-145.800,220.000,220.000,162.136,-0.000,文献能量启摆,0
14.019,337.610,129.000,340.906,160.200,-220.000,-220.000,157.610,-0.000,文献能量启摆,0
14.039,341.675,-174.000,345.081,-163.200,220.000,220.000,161.675,-0.000,文献能量启摆,0
14.059,337.126,156.000,341.367,175.200,-220.000,-220.000,157.126,-0.000,文献能量启摆,0
14.079,341.609,-156.000,345.784,-167.400,220.000,220.000,161.609,-0.000,文献能量启摆,0
14.099,337.654,155.400,341.807,160.200,-220.000,-220.000,157.654,-0.000,文献能量启摆,0
14.119,342.114,-162.600,346.201,-175.200,220.000,220.000,162.114,-0.000,文献能量启摆,0
14.139,337.698,146.400,342.026,162.000,-220.000,-220.000,157.698,-0.000,文献能量启摆,0
14.159,342.246,-168.000,345.674,-183.600,220.000,220.000,162.246,-0.000,文献能量启摆,0
14.179,337.720,147.000,341.191,169.800,-220.000,-220.000,157.720,-0.000,文献能量启摆,0
14.199,341.543,-163.800,345.103,-172.800,220.000,220.000,161.543,-0.000,文献能量启摆,0
14.219,337.390,124.800,340.576,163.200,-220.000,-220.000,157.390,-0.000,文献能量启摆,0
14.239,341.191,-151.200,344.773,-151.800,220.000,220.000,161.191,-0.000,文献能量启摆,0
14.260,337.368,130.200,341.279,181.200,-220.000,-220.000,157.368,-0.000,文献能量启摆,0
14.280,340.994,-143.400,346.443,-171.600,220.000,220.000,160.994,-0.000,文献能量启摆,0
14.299,337.456,120.600,343.059,169.800,-220.000,-220.000,157.456,-0.000,文献能量启摆,0
14.319,340.444,-156.600,346.882,-197.400,220.000,220.000,160.444,-0.000,文献能量启摆,0
14.339,336.973,123.600,343.564,177.000,-220.000,-220.000,156.973,-0.000,文献能量启摆,0
14.360,340.049,-153.000,347.366,-202.800,220.000,220.000,160.049,-0.000,文献能量启摆,0
14.380,336.797,119.400,343.608,169.200,-220.000,-220.000,156.797,-0.000,文献能量启摆,0
14.399,339.104,-162.600,347.981,-224.400,220.000,220.000,159.104,-0.000,文献能量启摆,0
14.419,336.270,116.400,345.015,183.000,-220.000,-220.000,156.270,-0.000,文献能量启摆,0
14.439,339.148,-156.000,348.860,-244.200,220.000,220.000,159.148,-0.000,文献能量启摆,0
14.459,336.467,132.600,346.003,240.000,-220.000,-220.000,156.467,-0.000,文献能量启摆,0
14.479,339.258,-157.200,349.299,-255.000,220.000,220.000,159.258,-0.000,文献能量启摆,0
14.499,336.160,126.000,345.894,225.000,-220.000,-220.000,156.160,-0.000,文献能量启摆,0
14.519,339.170,-156.600,349.277,-237.000,220.000,220.000,159.170,-0.000,文献能量启摆,0
14.540,336.248,139.800,345.828,221.400,-220.000,-220.000,156.248,-0.000,文献能量启摆,0
14.559,339.521,-151.800,348.706,-258.000,220.000,220.000,159.521,-0.000,文献能量启摆,0
14.579,335.852,137.400,345.300,199.800,-220.000,-220.000,155.852,-0.000,文献能量启摆,0
14.600,339.456,-145.800,348.706,-261.600,220.000,220.000,159.456,-0.000,文献能量启摆,0
14.620,334.995,85.800,345.234,187.800,-220.000,-220.000,154.995,-0.000,文献能量启摆,0
14.640,338.840,-126.600,348.684,-255.600,220.000,220.000,158.840,-0.000,文献能量启摆,0
14.659,334.182,83.400,345.125,191.400,-220.000,-220.000,154.182,-0.000,文献能量启摆,0
14.679,337.720,-146.400,348.267,-246.000,220.000,220.000,157.720,-0.000,文献能量启摆,0
14.699,333.237,105.600,344.575,183.600,-220.000,-220.000,153.237,-0.000,文献能量启摆,0
14.720,336.907,-138.600,348.267,-248.400,220.000,220.000,156.907,-0.000,文献能量启摆,0
14.739,332.227,85.800,344.487,187.200,-220.000,-220.000,152.227,-0.000,文献能量启摆,0
14.759,337.324,-83.400,347.717,-246.000,220.000,220.000,157.324,-0.000,文献能量启摆,0
14.779,332.930,106.200,343.828,175.800,-220.000,-220.000,152.930,-0.000,文献能量启摆,0
14.799,337.192,-118.800,347.673,-229.200,220.000,220.000,157.192,-0.000,文献能量启摆,0
14.819,333.215,112.800,344.619,204.600,-220.000,-220.000,153.215,-0.000,文献能量启摆,0
14.839,335.940,-158.400,348.069,-240.000,220.000,220.000,155.940,-0.000,文献能量启摆,0
14.860,332.974,139.200,344.707,187.200,-220.000,-220.000,152.974,-0.000,文献能量启摆,0
14.880,335.325,-149.400,348.069,-243.000,220.000,220.000,155.325,-0.000,文献能量启摆,0
14.899,332.007,103.200,344.619,188.400,-220.000,-220.000,152.007,-0.000,文献能量启摆,0
14.919,333.457,-154.200,348.201,-242.400,220.000,220.000,153.457,-0.000,文献能量启摆,0
14.939,330.117,103.800,345.322,222.000,-220.000,-220.000,150.117,-0.000,文献能量启摆,0
14.959,331.853,-153.000,348.684,-259.200,220.000,220.000,151.853,-0.000,文献能量启摆,0
14.979,329.326,139.200,345.344,205.200,-220.000,-220.000,149.326,-0.000,文献能量启摆,0
14.999,331.458,-147.000,348.882,-256.800,220.000,220.000,151.458,-0.000,文献能量启摆,0
15.019,328.667,145.800,345.256,205.200,-220.000,-220.000,148.667,-0.000,文献能量启摆,0
15.039,331.172,-159.000,348.267,-255.600,220.000,220.000,151.172,-0.000,文献能量启摆,0
15.059,328.579,157.800,344.707,189.600,-220.000,-220.000,148.579,-0.000,文献能量启摆,0
15.079,331.326,-140.400,348.289,-249.600,220.000,220.000,151.326,-0.000,文献能量启摆,0
15.099,328.403,157.800,344.641,194.400,-220.000,-220.000,148.403,-0.000,文献能量启摆,0
15.119,331.743,-120.600,348.354,-252.000,220.000,220.000,151.743,-0.000,文献能量启摆,0
15.139,328.799,157.200,345.344,222.600,-220.000,-220.000,148.799,-0.000,文献能量启摆,0
15.159,331.787,-120.600,348.816,-246.000,220.000,220.000,151.787,-0.000,文献能量启摆,0
15.179,328.777,157.200,345.344,205.200,-220.000,-220.000,148.777,-0.000,文献能量启摆,0
15.200,331.985,-134.400,348.882,-249.600,220.000,220.000,151.985,-0.000,文献能量启摆,0
15.220,328.733,151.200,345.300,204.600,-220.000,-220.000,148.733,-0.000,文献能量启摆,0
15.240,331.941,-113.400,348.948,-243.600,220.000,220.000,151.941,-0.000,文献能量启摆,0
15.259,329.084,153.600,345.959,220.200,-220.000,-220.000,149.084,-0.000,文献能量启摆,0
15.279,332.227,-142.200,349.409,-238.800,220.000,220.000,152.227,-0.000,文献能量启摆,0
15.299,329.150,147.600,345.959,213.600,-220.000,-220.000,149.150,-0.000,文献能量启摆,0
15.319,331.787,-134.400,348.772,-250.200,220.000,220.000,151.787,-0.000,文献能量启摆,0
15.339,328.953,154.200,345.476,216.600,-220.000,-220.000,148.953,-0.000,文献能量启摆,0
15.359,331.941,-128.400,348.816,-253.800,220.000,220.000,151.941,-0.000,文献能量启摆,0
15.380,329.216,158.400,345.432,200.400,-220.000,-220.000,149.216,-0.000,文献能量启摆,0
15.400,332.490,-127.800,348.838,-250.200,220.000,220.000,152.490,-0.000,文献能量启摆,0
15.420,330.227,147.600,345.344,210.600,-220.000,-220.000,150.227,-0.000,文献能量启摆,0
15.439,333.435,-102.000,349.014,-238.800,220.000,220.000,153.435,-0.000,文献能量启摆,0
15.459,331.919,147.600,346.003,220.800,-220.000,-220.000,151.919,-0.000,文献能量启摆,0
15.479,335.654,-91.200,349.497,-249.600,220.000,220.000,155.654,-0.000,文献能量启摆,0
15.500,335.105,177.600,346.025,214.200,-220.000,-220.000,155.105,-0.000,文献能量启摆,0
15.519,338.269,-109.200,349.585,-226.800,220.000,220.000,158.269,-0.000,文献能量启摆,0
15.539,337.632,166.200,346.663,258.600,-220.000,-220.000,157.632,-0.000,文献能量启摆,0
15.559,340.620,-102.600,350.002,-239.400,220.000,220.000,160.620,-0.000,文献能量启摆,0
15.579,340.334,172.200,346.597,242.400,-220.000,-220.000,160.334,-0.000,文献能量启摆,0
15.599,342.708,-117.600,349.387,-255.600,220.000,220.000,162.708,-0.000,文献能量启摆,0
15.619,342.180,160.200,346.179,241.200,-220.000,-220.000,162.180,-0.000,文献能量启摆,0
15.639,344.224,-109.800,349.409,-254.400,220.000,220.000,164.224,-0.000,文献能量启摆,0
15.659,343.433,146.400,346.025,205.200,-220.000,-220.000,163.433,-0.000,文献能量启摆,0
15.680,344.949,-117.000,349.475,-244.800,220.000,220.000,164.949,-0.000,文献能量启摆,0
15.700,344.136,130.200,346.025,219.600,-220.000,-220.000,164.136,-0.000,文献能量启摆,0
15.719,345.762,-118.200,349.629,-236.400,220.000,220.000,165.762,-0.000,文献能量启摆,0
15.739,344.553,113.400,346.663,258.600,-220.000,-220.000,164.553,-0.000,文献能量启摆,0
15.759,345.652,-133.800,350.024,-239.400,220.000,220.000,165.652,-0.000,文献能量启摆,0
15.780,344.333,106.200,346.663,242.400,-220.000,-220.000,164.333,-0.000,文献能量启摆,0
15.800,345.542,-127.800,350.068,-243.600,220.000,220.000,165.542,-0.000,文献能量启摆,0
15.820,344.180,118.800,346.553,247.200,-220.000,-220.000,164.180,-0.000,文献能量启摆,0
15.839,345.696,-112.200,350.244,-221.400,220.000,220.000,165.696,-0.000,文献能量启摆,0
15.860,344.971,134.400,347.212,252.600,-220.000,-220.000,164.971,-0.000,文献能量启摆,0
15.880,346.685,-116.400,350.508,-243.600,220.000,220.000,166.685,-0.000,文献能量启摆,0
15.899,345.696,123.600,347.124,242.400,-220.000,-220.000,165.696,-0.000,文献能量启摆,0
15.919,347.871,-109.800,350.046,-253.200,220.000,220.000,167.871,-0.000,文献能量启摆,0
15.939,347.168,128.400,346.707,241.200,-220.000,-220.000,167.168,0.000,文献能量启摆,0
15.959,349.607,-88.200,350.068,-232.800,220.000,220.000,169.607,-0.000,文献能量启摆,0
15.980,348.750,118.800,346.641,241.800,-220.000,-220.000,168.750,0.000,文献能量启摆,0
15.999,351.343,-104.400,350.156,-233.400,220.000,220.000,171.343,0.000,文献能量启摆,0
16.020,350.925,160.200,347.300,243.600,-220.000,-220.000,170.925,0.000,文献能量启摆,0
16.039,353.496,-117.600,351.343,-208.200,220.000,220.000,173.496,0.000,文献能量启摆,0
16.060,352.837,157.200,348.245,258.000,-220.000,-220.000,172.837,0.000,文献能量启摆,0
16.079,354.705,-135.000,351.958,-196.800,220.000,220.000,174.705,0.000,文献能量启摆,0
16.100,353.628,133.200,348.201,237.600,-220.000,-220.000,173.628,0.000,文献能量启摆,0
16.119,355.254,-142.800,352.046,-192.000,220.000,220.000,175.254,0.000,文献能量启摆,0
16.139,354.287,130.200,348.728,247.800,-220.000,-220.000,174.287,0.000,文献能量启摆,0
16.159,356.089,-145.800,352.639,-180.600,220.000,220.000,176.089,0.000,文献能量启摆,0
16.179,354.946,137.400,348.794,236.400,-220.000,-220.000,174.946,0.000,文献能量启摆,0
16.199,356.748,-142.800,352.771,-175.200,220.000,220.000,176.748,0.000,文献能量启摆,0
16.219,355.562,128.400,348.662,237.000,-220.000,-220.000,175.562,0.000,文献能量启摆,0
16.239,356.968,-158.400,351.936,-217.800,220.000,220.000,176.968,0.000,文献能量启摆,0
16.259,355.408,141.000,348.245,245.400,-220.000,-220.000,175.408,0.000,文献能量启摆,0
16.280,356.902,-164.400,351.914,-207.600,220.000,220.000,176.902,0.000,文献能量启摆,0
16.299,355.320,130.200,348.135,232.800,-220.000,-220.000,175.320,0.000,文献能量启摆,0
16.319,356.594,-172.200,351.189,-243.600,220.000,220.000,176.594,0.000,文献能量启摆,0
16.339,354.595,113.400,347.805,255.600,-220.000,-220.000,174.595,0.000,文献能量启摆,0
16.360,355.935,-187.800,351.189,-216.000,220.000,220.000,175.935,0.000,文献能量启摆,0
16.379,353.386,138.000,347.673,239.400,-220.000,-220.000,173.386,0.000,文献能量启摆,0
16.399,354.199,-201.600,351.277,-221.400,220.000,220.000,174.199,0.000,文献能量启摆,0
16.420,351.453,117.000,347.585,255.000,-220.000,-220.000,171.453,0.000,文献能量启摆,0
16.439,352.639,-203.400,351.343,-207.600,220.000,220.000,172.639,0.000,文献能量启摆,0
16.459,349.167,118.800,348.113,234.600,-220.000,-220.000,169.167,0.000,文献能量启摆,0
16.479,350.442,-177.600,351.892,-202.200,220.000,220.000,170.442,0.000,文献能量启摆,0
16.500,346.091,86.400,348.113,237.600,-220.000,-220.000,166.091,-0.000,文献能量启摆,0
16.519,347.520,-176.400,352.002,-208.200,220.000,220.000,167.520,0.000,文献能量启摆,0
16.539,343.784,139.800,348.640,242.400,-220.000,-220.000,163.784,-0.000,文献能量启摆,0
16.559,346.047,-167.400,352.551,-180.600,220.000,220.000,166.047,0.000,文献能量启摆,0
16.579,341.895,140.400,348.684,228.000,-220.000,-220.000,161.895,-0.000,文献能量启摆,0
16.599,345.146,-171.600,352.705,-180.600,220.000,220.000,165.146,0.000,文献能量启摆,0
16.619,340.115,145.200,349.233,242.400,-220.000,-220.000,160.115,-0.000,文献能量启摆,0
16.640,344.421,-175.200,353.276,-170.400,220.000,220.000,164.421,0.000,文献能量启摆,0
16.660,338.687,94.800,348.728,195.600,-220.000,-220.000,158.687,-0.000,文献能量启摆,0
16.680,343.147,-153.000,351.936,-196.200,220.000,220.000,163.147,-0.000,文献能量启摆,0
16.700,338.071,129.600,348.201,243.000,-220.000,-220.000,158.071,-0.000,文献能量启摆,0
16.720,343.081,-154.800,351.826,-202.200,220.000,220.000,163.081,-0.000,文献能量启摆,0
16.740,338.049,90.000,348.003,241.800,-220.000,-220.000,158.049,-0.000,文献能量启摆,0
16.760,342.224,-141.600,351.123,-210.600,220.000,220.000,162.224,-0.000,文献能量启摆,0
16.780,337.544,147.600,347.695,251.400,-220.000,-220.000,157.544,-0.000,文献能量启摆,0
16.799,342.158,-163.800,351.211,-216.000,220.000,220.000,162.158,-0.000,文献能量启摆,0
16.819,338.093,135.000,348.135,255.000,-220.000,-220.000,158.093,-0.000,文献能量启摆,0
16.839,342.576,-147.600,351.738,-202.200,220.000,220.000,162.576,-0.000,文献能量启摆,0
16.859,338.313,132.600,348.135,244.800,-220.000,-220.000,158.313,-0.000,文献能量启摆,0
16.879,342.598,-147.600,351.848,-201.000,220.000,220.000,162.598,-0.000,文献能量启摆,0
16.899,339.170,151.800,348.025,244.200,-220.000,-220.000,159.170,-0.000,文献能量启摆,0
16.919,343.367,-145.800,351.101,-232.800,220.000,220.000,163.367,-0.000,文献能量启摆,0
16.939,339.302,145.800,347.673,244.200,-220.000,-220.000,159.302,-0.000,文献能量启摆,0
16.960,343.477,-142.800,351.101,-211.200,220.000,220.000,163.477,-0.000,文献能量启摆,0
16.979,339.192,142.200,347.542,256.800,-220.000,-220.000,159.192,-0.000,文献能量启摆,0
17.000,342.949,-151.200,350.376,-258.600,220.000,220.000,162.949,-0.000,文献能量启摆,0
17.020,338.533,142.200,346.487,247.800,-220.000,-220.000,158.533,-0.000,文献能量启摆,0
17.040,342.883,-151.200,350.090,-241.800,220.000,220.000,162.883,-0.000,文献能量启摆,0
17.060,338.379,137.400,347.014,245.400,-220.000,-220.000,158.379,-0.000,文献能量启摆,0
17.080,342.861,-163.200,350.486,-232.800,220.000,220.000,162.861,-0.000,文献能量启摆,0
17.099,338.269,118.800,346.970,253.800,-220.000,-220.000,158.269,-0.000,文献能量启摆,0
17.119,342.246,-147.000,349.980,-251.400,220.000,220.000,162.246,-0.000,文献能量启摆,0
17.140,337.698,147.600,346.575,236.400,-220.000,-220.000,157.698,-0.000,文献能量启摆,0
17.160,342.246,-133.200,349.871,-244.200,220.000,220.000,162.246,-0.000,文献能量启摆,0
17.179,337.478,136.200,346.443,233.400,-220.000,-220.000,157.478,-0.000,文献能量启摆,0
17.199,341.499,-162.000,349.321,-250.200,220.000,220.000,161.499,-0.000,文献能量启摆,0
17.219,336.753,166.200,346.003,220.200,-220.000,-220.000,156.753,-0.000,文献能量启摆,0
17.239,340.466,-172.800,349.343,-239.400,220.000,220.000,160.466,-0.000,文献能量启摆,0
17.259,335.962,168.600,345.916,220.200,-220.000,-220.000,155.962,-0.000,文献能量启摆,0
17.279,340.159,-162.600,349.431,-238.800,220.000,220.000,160.159,-0.000,文献能量启摆,0
17.299,335.698,174.600,346.575,254.400,-220.000,-220.000,155.698,-0.000,文献能量启摆,0
17.320,340.093,-171.000,349.783,-256.200,220.000,220.000,160.093,-0.000,文献能量启摆,0
17.339,336.467,172.200,346.597,237.600,-220.000,-220.000,156.467,-0.000,文献能量启摆,0
17.359,340.906,-173.400,349.871,-245.400,220.000,220.000,160.906,-0.000,文献能量启摆,0
17.379,336.731,182.400,346.531,233.400,-220.000,-220.000,156.731,-0.000,文献能量启摆,0
17.399,341.104,-193.200,349.980,-247.800,220.000,220.000,161.104,0.000,文献能量启摆,0
17.419,336.731,146.400,347.124,254.400,-220.000,-220.000,156.731,-0.000,文献能量启摆,0
17.440,340.488,-185.400,350.376,-228.000,220.000,220.000,160.488,-0.000,文献能量启摆,0
17.459,336.028,177.000,347.080,244.800,-220.000,-220.000,156.028,-0.000,文献能量启摆,0
17.479,340.225,-186.000,350.552,-231.600,220.000,220.000,160.225,-0.000,文献能量启摆,0
17.499,335.786,192.000,347.695,265.800,-220.000,-220.000,155.786,-0.000,文献能量启摆,0
17.520,339.543,-201.600,350.969,-234.000,220.000,220.000,159.543,-0.000,文献能量启摆,0
17.539,334.863,181.200,347.629,253.800,-220.000,-220.000,154.863,-0.000,文献能量启摆,0
17.559,339.126,-190.800,351.101,-227.400,220.000,220.000,159.126,-0.000,文献能量启摆,0
17.579,334.402,177.000,347.542,246.600,-220.000,-220.000,154.402,-0.000,文献能量启摆,0
17.599,338.159,-190.800,350.442,-244.200,220.000,220.000,158.159,-0.000,文献能量启摆,0
17.619,333.259,162.600,347.168,255.000,-220.000,-220.000,153.259,-0.000,文献能量启摆,0
17.639,337.544,-190.200,350.442,-228.600,220.000,220.000,157.544,-0.000,文献能量启摆,0
17.659,332.534,172.200,347.036,232.800,-220.000,-220.000,152.534,-0.000,文献能量启摆,0
17.679,337.280,-167.400,350.552,-236.400,220.000,220.000,157.280,-0.000,文献能量启摆,0
17.699,333.062,170.400,347.651,260.400,-220.000,-220.000,153.062,-0.000,文献能量启摆,0
17.719,338.137,-177.600,350.947,-239.400,220.000,220.000,158.137,-0.000,文献能量启摆,0
17.739,333.655,175.800,347.673,254.400,-220.000,-220.000,153.655,-0.000,文献能量启摆,0
17.759,338.577,-174.000,351.079,-227.400,220.000,220.000,158.577,-0.000,文献能量启摆,0
17.779,334.797,176.400,347.542,241.200,-220.000,-220.000,154.797,-0.000,文献能量启摆,0
17.799,339.653,-172.800,350.376,-239.400,220.000,220.000,159.653,-0.000,文献能量启摆,0
17.819,335.566,171.600,347.212,238.800,-220.000,-220.000,155.566,-0.000,文献能量启摆,0
17.840,339.763,-179.400,350.354,-234.000,220.000,220.000,159.763,-0.000,文献能量启摆,0
17.859,335.896,150.000,347.058,243.600,-220.000,-220.000,155.896,-0.000,文献能量启摆,0
17.879,338.599,-181.800,350.442,-242.400,220.000,220.000,158.599,-0.000,文献能量启摆,0
17.899,334.973,147.600,347.695,255.600,-220.000,-220.000,154.973,-0.000,文献能量启摆,0
17.920,338.137,-179.400,350.815,-228.000,220.000,220.000,158.137,-0.000,文献能量启摆,0
17.939,334.775,169.800,347.673,247.800,-220.000,-220.000,154.775,-0.000,文献能量启摆,0
17.959,337.544,-187.200,350.925,-216.600,220.000,220.000,157.544,-0.000,文献能量启摆,0
17.979,333.875,145.800,347.585,240.000,-220.000,-220.000,153.875,-0.000,文献能量启摆,0
17.999,337.236,-185.400,350.244,-234.000,220.000,220.000,157.236,-0.000,文献能量启摆,0
18.020,333.062,151.800,347.212,231.600,-220.000,-220.000,153.062,-0.000,文献能量启摆,0
18.040,337.017,-162.600,350.310,-234.000,220.000,220.000,157.017,-0.000,文献能量启摆,0
18.059,333.457,164.400,347.102,232.800,-220.000,-220.000,153.457,-0.000,文献能量启摆,0
18.079,337.764,-175.800,350.354,-227.400,220.000,220.000,157.764,-0.000,文献能量启摆,0
18.099,333.984,171.000,347.695,235.200,-220.000,-220.000,153.984,-0.000,文献能量启摆,0
18.120,338.423,-180.000,350.771,-232.200,220.000,220.000,158.423,-0.000,文献能量启摆,0
18.139,334.204,161.400,346.992,217.800,-220.000,-220.000,154.204,-0.000,文献能量启摆,0
18.159,337.896,-226.800,349.871,-244.800,220.000,220.000,157.896,0.000,文献能量启摆,0
18.180,333.743,158.400,346.729,226.800,-220.000,-220.000,153.743,-0.000,文献能量启摆,0
18.199,337.742,-196.800,349.915,-238.800,220.000,220.000,157.742,-0.000,文献能量启摆,0
18.219,334.226,195.600,347.168,230.400,-220.000,-220.000,154.226,-0.000,文献能量启摆,0
18.240,338.467,-188.400,350.332,-234.000,220.000,220.000,158.467,-0.000,文献能量启摆,0
18.260,334.556,168.600,347.102,238.200,-220.000,-220.000,154.556,-0.000,文献能量启摆,0
18.280,338.599,-181.200,350.398,-238.200,220.000,220.000,158.599,-0.000,文献能量启摆,0
18.299,334.644,145.800,346.970,233.400,-220.000,-220.000,154.644,-0.000,文献能量启摆,0
18.319,337.544,-210.000,349.827,-241.200,220.000,220.000,157.544,-0.000,文献能量启摆,0
18.339,333.435,145.200,346.575,225.000,-220.000,-220.000,153.435,-0.000,文献能量启摆,0
18.359,336.841,-181.800,349.893,-240.000,220.000,220.000,156.841,-0.000,文献能量启摆,0
18.379,333.589,177.600,347.212,246.600,-220.000,-220.000,153.589,-0.000,文献能量启摆,0
18.399,337.588,-177.000,350.288,-249.000,220.000,220.000,157.588,-0.000,文献能量启摆,0
18.419,334.072,174.000,347.190,230.400,-220.000,-220.000,154.072,-0.000,文献能量启摆,0
18.439,338.467,-204.600,350.376,-238.800,220.000,220.000,158.467,-0.000,文献能量启摆,0
18.459,334.380,171.000,347.102,243.000,-220.000,-220.000,154.380,-0.000,文献能量启摆,0
18.480,338.862,-170.400,350.442,-227.400,220.000,220.000,158.862,-0.000,文献能量启摆,0
18.499,335.303,196.200,347.629,253.200,-220.000,-220.000,155.303,-0.000,文献能量启摆,0
18.519,339.851,-205.200,350.903,-238.800,220.000,220.000,159.851,0.000,文献能量启摆,0
18.539,335.698,202.800,347.629,243.000,-220.000,-220.000,155.698,-0.000,文献能量启摆,0
18.560,339.500,-246.600,350.222,-245.400,220.000,220.000,159.500,0.000,文献能量启摆,0
18.579,334.072,156.000,346.575,238.800,-220.000,-220.000,154.072,-0.000,文献能量启摆,0
18.600,337.588,-212.400,349.255,-255.000,220.000,220.000,157.588,-0.000,文献能量启摆,0
18.620,332.512,150.000,346.025,218.400,-220.000,-220.000,152.512,-0.000,文献能量启摆,0
18.639,336.643,-176.400,349.277,-241.800,220.000,220.000,156.643,-0.000,文献能量启摆,0
18.659,332.732,153.000,345.872,225.000,-220.000,-220.000,152.732,-0.000,文献能量启摆,0
18.679,337.017,-166.800,348.706,-264.000,220.000,220.000,157.017,-0.000,文献能量启摆,0
18.699,332.996,156.000,345.432,226.200,-220.000,-220.000,152.996,-0.000,文献能量启摆,0
18.719,337.302,-171.000,348.728,-253.800,220.000,220.000,157.302,-0.000,文献能量启摆,0
18.739,333.918,175.200,345.322,194.400,-220.000,-220.000,153.918,-0.000,文献能量启摆,0
18.760,338.423,-163.800,348.838,-246.600,220.000,220.000,158.423,-0.000,文献能量启摆,0
18.779,334.358,178.800,345.234,206.400,-220.000,-220.000,154.358,-0.000,文献能量启摆,0
18.799,338.884,-192.600,348.223,-242.400,220.000,220.000,158.884,-0.000,文献能量启摆,0
18.819,334.622,172.200,344.663,197.400,-220.000,-220.000,154.622,-0.000,文献能量启摆,0
18.839,338.423,-193.800,348.223,-252.600,220.000,220.000,158.423,-0.000,文献能量启摆,0
18.860,334.226,173.400,344.575,189.000,-220.000,-220.000,154.226,-0.000,文献能量启摆,0
18.879,338.159,-195.600,348.289,-255.600,220.000,220.000,158.159,-0.000,文献能量启摆,0
18.899,334.270,168.000,345.322,202.800,-220.000,-220.000,154.270,-0.000,文献能量启摆,0
18.919,337.434,-198.000,348.728,-258.600,220.000,220.000,157.434,-0.000,文献能量启摆,0
18.939,333.567,150.600,345.344,198.600,-220.000,-220.000,153.567,-0.000,文献能量启摆,0
18.959,337.236,-171.000,348.794,-251.400,220.000,220.000,157.236,-0.000,文献能量启摆,0
18.980,333.391,134.400,346.047,228.000,-220.000,-220.000,153.391,-0.000,文献能量启摆,0
18.999,337.083,-127.800,349.211,-237.600,220.000,220.000,157.083,-0.000,文献能量启摆,0
19.020,334.160,157.200,346.069,217.800,-220.000,-220.000,154.160,-0.000,文献能量启摆,0
19.040,337.874,-147.600,349.277,-237.000,220.000,220.000,157.874,-0.000,文献能量启摆,0
19.060,335.017,123.000,345.959,208.200,-220.000,-220.000,155.017,-0.000,文献能量启摆,0
19.080,338.049,-137.400,349.387,-238.800,220.000,220.000,158.049,-0.000,文献能量启摆,0
19.100,335.325,106.200,345.894,222.000,-220.000,-220.000,155.325,-0.000,文献能量启摆,0
19.120,337.720,-121.800,348.860,-258.000,220.000,220.000,157.720,-0.000,文献能量启摆,0
19.140,335.500,90.000,345.388,205.800,-220.000,-220.000,155.500,-0.000,文献能量启摆,0
19.160,337.610,-121.800,348.816,-249.600,220.000,220.000,157.610,-0.000,文献能量启摆,0
